FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
56364.2085,27903.2886,53881.6005,42001.4262,36649.6593,39135.2624,5966.4845,50355.345,44310.6741,55962.0112,282.1684,-795.4985,25829.4493
56341.1415,27898.8183,53881.1088,41992.0832,36640.6292,39131.1496,5960.8072,50341.7552,44296.4584,55955.2163,266.5669,-810.2953,25823.9955
56315.2581,27888.76,53877.1749,41976.3923,36617.1151,39123.5948,5955.264,50318.867,44286.9812,55946.7226,249.4901,-822.7229,25814.6524
56321.2037,27892.6492,53877.6666,41975.5876,36615.0141,39125.3382,5954.6381,50321.4151,44289.7528,55942.8781,249.4901,-822.6782,25811.2997
56338.1463,27896.6278,53876.8619,41986.3611,36637.1423,39128.9592,5955.5322,50346.1808,44303.6109,55952.847,261.0236,-815.0339,25811.5232
56342.572,27886.3013,53869.7094,41987.7023,36644.116,39125.7405,5952.8947,50357.9378,44306.3378,55947.8849,262.4989,-807.0767,25807.2764
56328.1327,27881.8756,53869.1729,41975.9452,36625.0724,39116.0399,5949.4525,50340.6376,44293.3738,55934.4292,249.3113,-815.2574,25801.3308
56311.7266,27881.9203,53868.9047,41967.6751,36605.1793,39111.793,5945.7421,50318.5093,44274.6431,55927.1425,236.2132,-827.3274,25798.6486
56311.1007,27878.1652,53871.7657,41969.1056,36608.5321,39116.9339,5944.714,50315.246,44281.4827,55929.5565,240.773,-824.8687,25803.5213
56338.6381,27889.967,53879.4994,41987.7023,36638.2152,39127.3499,5955.1299,50346.5384,44302.7616,55947.8849,264.1082,-802.6063,25816.5747
56338.6381,27892.0233,53880.3935,41989.3563,36647.8711,39125.8299,5956.0686,50367.3255,44312.3281,55952.7129,273.3171,-797.8231,25817.0217
56321.2037,27892.4257,53881.4217,41978.8063,36625.0724,39121.8513,5954.6828,50356.5967,44299.8558,55949.8966,261.2472,-807.3896,25814.4736
56316.5098,27892.5598,53878.963,41974.6935,36607.0569,39122.5666,5955.3534,50337.553,44285.3272,55944.8898,249.669,-819.4149,25813.8925
56328.6692,27898.1924,53877.9348,41981.3544,36613.4048,39130.6579,5961.3436,50342.6492,44296.6372,55947.6614,256.3298,-810.4742,25818.9887
56348.2493,27900.9193,53878.1583,41993.469,36637.6787,39133.5189,5962.3718,50379.3955,44315.5915,55954.9928,268.5338,-794.8279,25821.7156
56349.8139,27894.4373,53875.0291,41993.6925,36639.0198,39129.3615,5958.885,50385.4305,44313.1775,55954.1881,268.1762,-794.1127,25816.8429
56333.2289,27890.1905,53874.4479,41984.7071,36616.4446,39124.7571,5957.365,50364.7327,44305.3544,55951.0142,257.2685,-803.9474,25813.356
56308.0162,27888.2235,53871.3187,41972.5925,36591.6789,39115.6375,5949.9443,50344.035,44293.4632,55941.4029,237.2861,-821.9182,25805.9353
56308.1503,27883.2614,53866.446,41964.6353,36590.5613,39108.5297,5940.6906,50348.863,44287.2494,55940.4194,230.7147,-829.9202,25798.8721
56337.0287,27889.7434,53868.4577,41982.2931,36619.6632,39114.2964,5940.2436,50374.3887,44302.1357,55945.8733,244.9304,-816.9115,25801.3308
56344.986,27889.1623,53868.2789,41993.5584,36628.2016,39116.4422,5939.7072,50382.2565,44308.4836,55945.4709,250.1607,-811.86,25800.6603
56319.6391,27885.3178,53867.5636,41977.4204,36602.8547,39111.793,5936.3544,50366.208,44294.9384,55939.8383,236.6155,-821.963,25794.8488
56297.1085,27883.0379,53867.6083,41965.7528,36574.5574,39108.3062,5937.2932,50347.3431,44290.3787,55943.2358,226.2443,-833.6306,25796.2346
56310.6984,27882.5015,53868.413,41971.3855,36590.8295,39110.899,5941.7635,50355.2556,44294.2232,55943.1016,229.5971,-829.7861,25797.6651
56329.6527,27884.7367,53868.7706,41978.7169,36616.981,39115.4587,5946.0998,50376.2662,44309.4224,55948.779,242.2929,-816.9115,25798.9615
56339.0404,27890.9504,53870.2905,41982.6061,36621.1385,39116.8892,5949.4078,50384.8046,44314.7868,55950.7459,245.6009,-814.0951,25803.1189
56334.2571,27893.0515,53872.9727,41980.4156,36613.4495,39115.8164,5948.2902,50374.7463,44317.2902,55951.6847,244.3045,-817.0456,25806.874
56314.0064,27885.0943,53870.3352,41967.9433,36593.4223,39106.6521,5946.8597,50360.173,44300.5711,55940.5088,227.7195,-829.1155,25804.8624
56318.4768,27884.9155,53870.1564,41971.9219,36606.2969,39108.4403,5949.4972,50367.8173,44305.9355,55946.7673,234.1568,-825.9416,25810.4056
56338.2357,27890.6375,53869.1282,41984.7518,36631.152,39118.1856,5952.6265,50394.5053,44323.1016,55952.9364,255.9721,-812.4858,25817.2452
56340.1133,27888.9835,53871.274,41990.608,36634.7283,39121.6278,5957.1415,50399.3779,44332.1317,55962.19,265.2258,-802.2487,25823.8614
56328.1327,27886.346,53868.7706,41984.1707,36619.9315,39114.52,5956.5604,50382.3012,44318.2737,55959.1502,250.8312,-812.8881,25818.5863
56313.917,27877.9417,53870.2905,41972.3243,36601.8265,39104.9534,5951.9559,50364.688,44294.3573,55948.6449,232.5028,-826.4333,25812.0596
56311.5925,27874.276,53867.206,41975.3641,36601.6924,39102.7629,5946.368,50365.8056,44295.0726,55946.2756,234.1568,-824.6452,25807.7234
56324.1988,27880.1769,53863.7191,41985.5118,36623.6866,39104.864,5942.9705,50386.4586,44303.9685,55951.8188,248.0596,-810.6083,25806.5611
56332.6031,27878.3441,53861.3051,41979.4321,36629.5427,39102.4053,5937.7849,50388.962,44302.4039,55950.3883,249.7584,-811.0106,25804.9965
56320.6226,27869.761,53862.0651,41974.1571,36613.4495,39101.7348,5937.2932,50368.2643,44290.6916,55947.4379,237.9566,-822.857,25804.46
56305.4681,27865.6483,53865.5072,41966.0211,36582.6935,39099.9466,5938.5449,50340.8611,44284.4778,55939.6148,224.1433,-833.6306,25799.0956
56308.2844,27870.5657,53869.9329,41968.0774,36590.8295,39103.8805,5942.4341,50351.2323,44292.1221,55944.8004,231.9664,-824.064,25803.9236
56336.984,27882.4121,53870.1117,41986.2717,36621.4067,39109.3343,5949.6313,50378.9932,44316.3067,55959.2843,254.631,-804.8415,25816.0383
56351.7362,27887.2401,53873.8668,42002.0968,36639.0198,39112.3295,5953.6099,50389.4091,44322.1182,55955.261,261.0236,-798.5383,25819.7933
56337.6993,27879.9534,53877.2196,41992.6643,36621.1385,39110.2284,5953.4311,50388.6938,44320.1959,55953.5623,248.5961,-807.3449,25816.6194
56318.5662,27876.3771,53878.8289,41984.6624,36601.603,39109.0661,5955.3534,50378.6355,44311.4787,55950.0754,236.392,-819.2807,25812.8196
56321.6507,27886.2119,53881.1535,41988.1046,36608.1297,39116.3528,5962.1483,50399.7356,44319.3913,55957.7197,246.4503,-812.7987,25817.5135
56347.8023,27900.1594,53887.0543,42003.2144,36629.9897,39134.1448,5971.8937,50439.7452,44343.4417,55972.2483,269.0703,-795.2303,25829.1364
56357.1453,27905.2109,53892.8211,42011.3951,36644.5184,39140.0903,5977.4369,50454.2738,44353.6341,55978.5068,273.63,-788.3012,25832.8915
56342.8402,27907.446,53890.3177,42001.8733,36627.844,39129.7191,5972.3407,50432.8161,44341.5195,55970.5496,259.7719,-798.4489,25828.0188
56315.884,27894.7949,53884.3721,41982.8743,36600.396,39117.6939,5962.5953,50402.7754,44319.7936,55960.2231,241.8905,-814.274,25820.2404
56310.9219,27887.1506,53884.5956,41983.6789,36613.4495,39122.8348,5961.3883,50401.9707,44324.8898,55965.1405,251.8594,-810.0271,25820.3298
56328.9821,27879.4169,53880.7064,41995.3018,36628.2463,39124.2206,5959.4661,50417.5723,44330.4777,55963.9335,263.8847,-798.896,25819.1228
56335.5088,27882.0544,53874.135,41998.2076,36627.6205,39120.3761,5957.0074,50412.5208,44324.5322,55957.2726,269.9643,-801.6229,25815.0995
56322.0978,27876.2877,53873.2857,41990.7421,36607.4592,39115.5034,5950.3019,50402.4178,44303.1639,55949.8072,254.944,-816.6879,25811.3444
56305.2446,27874.3207,53870.3352,41985.9588,36587.1638,39113.8494,5946.815,50391.9125,44288.4564,55938.3631,240.773,-825.7627,25803.9683
56315.8393,27879.7746,53868.1895,41988.8645,36594.8528,39115.9058,5948.4243,50396.5616,44297.4865,55940.4641,246.8973,-817.6267,25804.5495
56341.7673,27897.5666,53873.0621,42004.1084,36622.3007,39127.8416,5952.5371,50420.7462,44320.7324,55948.6896,267.4162,-803.6345,25811.4785
56350.261,27902.1263,53874.7609,42008.7129,36638.2599,39137.4528,5953.0735,50431.5197,44318.5419,55946.7673,279.665,-798.3148,25813.9819
56345.2095,27903.4227,53875.6996,42002.3203,36629.1851,39141.0738,5952.2241,50424.5907,44315.2785,55949.6731,274.9711,-807.7472,25813.0431
56327.2387,27900.3829,53876.4149,41993.022,36597.8479,39134.0107,5949.9443,50400.5402,44304.505,55941.4476,257.0897,-820.2642,25809.3774
56332.3349,27900.3829,53878.4266,41994.1396,36598.2503,39131.6414,5947.7985,50403.2224,44307.5448,55940.5535,255.4804,-810.5636,25812.0596
56351.6021,27909.1001,53879.4994,42006.2095,36626.7264,39144.9183,5951.7771,50425.2613,44319.5254,55948.8237,276.8487,-793.2633,25821.805
56359.3805,27903.6909,53878.963,42005.7625,36633.1637,39147.6005,5947.7538,50428.4799,44321.9393,55952.4,285.1188,-792.1457,25822.565
56338.5934,27889.9223,53873.3751,41988.0152,36610.6778,39138.0787,5940.3777,50405.7705,44309.1094,55943.0122,267.4162,-807.5237,25814.3395
56305.5575,27878.1205,53872.5257,41965.7081,36584.1687,39121.1808,5935.9074,50379.5743,44277.5488,55935.2338,242.6505,-827.685,25809.5115
56310.5643,27878.9252,53875.9232,41967.0045,36591.7683,39114.8329,5937.8743,50384.4917,44282.4215,55942.7887,242.6058,-821.6947,25813.7584
56326.8811,27878.1205,53874.0903,41971.4749,36613.1812,39117.6939,5941.6294,50406.4411,44301.5993,55955.7527,261.113,-804.2604,25819.3016
