FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
55664.9566,27496.8445,53547.7996,41459.62,36261.8566,38637.3103,5908.2806,50231.0246,44475.0041,55878.1475,-238.8507,-1127.0195,25349.8256
55642.6495,27493.5365,53546.1456,41449.4723,36233.6487,38637.8914,5907.1183,50204.1578,44462.8894,55868.9386,-253.6029,-1135.8261,25344.5953
55656.7758,27492.8212,53547.7102,41453.1827,36253.0947,38642.4512,5907.9677,50210.7739,44472.0536,55877.611,-242.7399,-1126.4831,25349.3786
55680.2452,27495.8163,53551.1971,41466.7279,36277.8604,38646.6533,5911.1863,50232.9022,44484.6153,55882.7966,-223.4727,-1113.6979,25358.2299
55689.9458,27504.1312,53556.6509,41478.7531,36285.6388,38650.5872,5913.6897,50240.5018,44483.8554,55881.8579,-214.3979,-1105.7854,25362.6555
55679.6193,27495.5481,53558.7072,41472.4499,36260.9625,38645.4463,5917.4448,50224.8555,44478.8039,55883.199,-221.8187,-1109.1381,25364.3543
55665.94,27486.9651,53558.6178,41466.1914,36238.7002,38646.0721,5919.0094,50199.0616,44469.5503,55879.3098,-230.4912,-1116.8271,25366.5447
55668.9799,27488.5744,53553.1193,41467.1302,36244.1987,38642.9876,5915.2991,50199.464,44475.4511,55879.6227,-219.4047,-1111.3733,25368.2882
55675.5066,27497.4704,53547.442,41476.5626,36266.5951,38643.5241,5913.3321,50213.0091,44479.6979,55883.0649,-202.328,-1095.7718,25373.2055
55673.8079,27495.7269,53544.0445,41479.1107,36262.393,38643.6582,5913.2874,50212.428,44478.3568,55880.8744,-206.3066,-1093.0449,25371.4174
55674.5231,27485.1322,53543.6869,41475.4003,36250.2337,38640.7524,5912.9745,50194.2784,44465.5716,55876.3593,-220.0305,-1102.7008,25368.467
55665.1354,27475.6104,53539.6188,41463.7774,36229.0889,38635.6115,5906.8501,50165.4893,44455.7369,55868.3574,-229.8653,-1116.8271,25363.192
55677.25,27479.4102,53539.0824,41467.1302,36240.2648,38633.5105,5904.5702,50170.5408,44464.3646,55869.7879,-222.7128,-1112.5356,25361.8062
55694.6397,27483.0759,53539.753,41475.1768,36261.2754,38632.7058,5902.3798,50190.7915,44473.0371,55876.1805,-209.5252,-1099.5716,25363.5943
55697.6795,27484.5958,53541.4964,41474.7298,36265.3881,38635.2539,5903.4526,50200.0898,44476.7922,55881.992,-211.8945,-1096.5317,25366.7235
55692.3151,27484.3276,53546.3691,41468.8736,36245.9868,38637.5785,5903.3185,50180.2415,44469.595,55873.0513,-229.2395,-1110.0769,25360.2862
55682.3909,27476.2809,53548.9172,41447.2818,36224.7527,38630.7389,5899.474,50155.4757,44455.7816,55861.3837,-247.4338,-1126.5725,25352.2843
55695.1314,27484.0593,53554.8627,41457.4742,36237.4932,38633.1528,5907.923,50164.8188,44471.4278,55877.2534,-234.6486,-1113.6979,25360.2415
55715.3374,27487.9932,53556.4274,41469.8124,36257.2074,38634.9857,5909.0406,50189.3163,44487.9234,55882.6625,-216.2755,-1098.8563,25365.0248
55716.0974,27480.9748,53547.2184,41463.1963,36255.4193,38624.838,5900.9492,50184.3095,44478.1333,55877.1193,-219.2259,-1106.3665,25355.9947
55696.249,27474.5822,53540.2894,41450.0982,36235.5262,38616.4784,5893.2155,50163.6118,44465.3481,55870.8608,-238.3143,-1122.8621,25349.0657
55680.3346,27472.9729,53542.1669,41445.4043,36221.1764,38615.6738,5893.5285,50147.8314,44448.629,55865.6752,-249.7584,-1135.5132,25345.5341
55689.0517,27478.2479,53542.3458,41448.9359,36233.2463,38623.0946,5891.5615,50166.741,44457.7485,55867.0163,-242.7846,-1129.3441,25348.7974
55713.1916,27491.9719,53539.8424,41453.9427,36261.3648,38636.4609,5895.853,50194.0995,44481.799,55873.8559,-223.7409,-1110.0769,25356.7994
55719.2713,27497.1575,53540.1553,41462.8386,36268.7409,38641.1548,5903.4079,50204.8284,44485.5988,55873.4089,-219.4494,-1105.7854,25357.6934
55703.1333,27486.071,53538.8589,41463.4198,36252.6476,38636.9526,5903.095,50195.7983,44472.2772,55868.268,-229.3736,-1115.7542,25354.2513
55687.7553,27475.208,53540.2894,41447.9077,36235.1239,38630.4706,5900.9492,50166.4281,44460.0284,55868.3574,-240.8177,-1125.2314,25352.3737
55693.5668,27478.7843,53541.5411,41450.0982,36245.7186,38633.8234,5903.4526,50168.0821,44466.9127,55875.51,-237.152,-1118.4365,25355.95
55702.4181,27479.1867,53540.3788,41456.8484,36265.0752,38634.7175,5902.4245,50179.6603,44477.4628,55876.7617,-223.7856,-1106.4559,25360.6439
55702.5075,27476.1468,53543.6422,41466.5043,36272.6748,38633.287,5906.2243,50182.0743,44477.2393,55874.75,-218.8683,-1101.8962,25364.399
55689.32,27471.8106,53542.0775,41455.3732,36256.0898,38625.1509,5900.9045,50164.6399,44470.8019,55870.0114,-234.5145,-1112.7591,25359.1239
55683.285,27469.4413,53542.0775,41452.2886,36241.1141,38626.8497,5903.3185,50151.3183,44469.8185,55873.6324,-245.1539,-1119.6882,25359.9733
55685.8778,27474.5822,53539.9765,41457.9213,36251.8877,38634.4492,5903.4079,50169.6467,44477.1051,55878.8627,-235.0956,-1107.6629,25361.225
55699.5571,27486.6968,53537.8307,41468.6054,36270.2161,38644.284,5905.6878,50202.4591,44494.763,55883.9589,-216.9907,-1092.8661,25367.9752
55702.9098,27491.5248,53536.7131,41474.6851,36272.4066,38648.7991,5905.7325,50215.8254,44494.9865,55882.0814,-215.2473,-1094.3413,25364.8013
55692.8515,27485.9816,53536.4449,41464.6268,36254.3464,38641.7806,5900.7257,50205.7225,44480.7261,55875.957,-226.1102,-1114.8155,25358.4534
55679.664,27486.2051,53534.5227,41455.2838,36240.8459,38634.4492,5898.2223,50190.7021,44465.8846,55868.8492,-244.3939,-1125.6784,25351.9714
55693.1198,27488.0379,53533.1368,41463.5986,36256.4921,38638.6067,5897.5518,50199.0169,44476.3899,55870.1009,-237.2861,-1115.6201,25352.7313
55703.3122,27488.7085,53525.8949,41465.2526,36266.7739,38638.7855,5890.2651,50210.8634,44484.1683,55870.1009,-227.496,-1108.4676,25350.3174
55705.8156,27491.1225,53523.5703,41461.0058,36265.5669,38638.4279,5885.5265,50214.1267,44477.5522,55865.3623,-231.8323,-1115.4413,25346.2046
55696.4725,27489.5132,53523.168,41454.0321,36254.6593,38638.0702,5882.5761,50199.3746,44472.5007,55861.0708,-247.1656,-1127.9583,25342.5837
55688.0236,27488.3062,53522.1845,41446.7454,36241.2035,38639.009,5877.7481,50175.9946,44458.4638,55857.4498,-260.7107,-1136.2284,25338.4709
55699.6912,27490.2284,53520.4411,41454.792,36251.5748,38645.6698,5875.3341,50184.5777,44464.2305,55859.1932,-253.3793,-1128.7183,25340.6167
55720.0313,27496.2634,53524.9114,41464.8503,36265.8799,38653.5823,5878.2399,50210.5504,44488.8622,55867.9104,-239.4319,-1116.7377,25348.4845
55716.3209,27491.6142,53528.5324,41459.0389,36264.5388,38654.1635,5879.581,50216.6301,44490.7397,55865.9881,-238.5825,-1118.4365,25347.9481
55701.5687,27488.6638,53529.8735,41457.2954,36254.6146,38653.4035,5879.7598,50210.2375,44481.352,55857.9415,-249.8478,-1127.6901,25343.2542
55689.8117,27483.2994,53532.4663,41456.8484,36242.7235,38650.6319,5885.7054,50195.1277,44475.764,55851.5936,-254.4969,-1134.3062,25341.9131
55698.8865,27483.8358,53533.0027,41461.1846,36245.5398,38651.2578,5887.0465,50203.0849,44483.453,55863.1271,-243.7681,-1122.9515,25349.915
55717.4385,27491.3013,53533.0474,41472.137,36272.3172,38655.6834,5888.4323,50230.9799,44491.9914,55870.5032,-224.9032,-1105.383,25355.2794
55715.7397,27490.4072,53530.8123,41471.8688,36279.0227,38651.7048,5887.8511,50235.2268,44490.6503,55872.2913,-218.4212,-1103.9972,25354.1619
