FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
53588.5692,25887.6085,52148.67,39605.3195,34650.1619,36934.3758,5066.3799,49343.1687,44163.4208,55206.5223,-2027.6159,-2526.7303,23587.7037
53607.7917,25896.0575,52155.4649,39617.0318,34680.6496,36939.2037,5068.6151,49361.4972,44178.3518,55211.6632,-2014.2943,-2509.6536,23593.2916
53606.1376,25900.0361,52156.6719,39621.7257,34686.5505,36938.0862,5070.8503,49366.504,44177.3236,55213.5855,-2009.1087,-2507.6866,23591.727
53592.5925,25900.5278,52158.8624,39615.2884,34664.914,36932.4535,5073.2642,49347.6838,44158.7269,55210.2774,-2015.0095,-2520.4718,23590.0283
53580.7461,25904.6406,52158.1471,39606.303,34640.193,36931.0677,5070.9844,49321.0852,44140.3538,55204.8236,-2026.4983,-2530.6642,23591.9058
53580.2096,25908.4851,52161.4105,39606.303,34645.7362,36940.4107,5075.0971,49319.9676,44148.1769,55211.6185,-2017.8705,-2522.4835,23596.6444
53599.3874,25916.4423,52161.2763,39626.1066,34668.2668,36949.8432,5081.445,49328.2378,44157.7882,55215.9101,-2003.029,-2509.0724,23601.9641
53605.78,25920.3762,52160.2035,39629.6382,34675.1958,36946.1328,5079.7462,49330.4729,44166.4159,55217.7429,-2000.2574,-2504.468,23603.9311
53589.642,25915.4588,52160.5164,39622.2621,34661.1142,36941.7071,5074.7842,49309.9988,44151.6638,55211.2162,-2014.2049,-2514.8839,23598.4772
53569.3467,25905.4452,52159.3094,39613.1873,34639.5224,36935.6275,5067.9892,49284.4284,44136.7775,55200.7109,-2024.8443,-2530.1725,23594.2304
53577.7509,25907.144,52156.9401,39621.8598,34640.8188,36935.3145,5073.3089,49286.1718,44142.276,55200.2639,-2014.786,-2523.0199,23595.348
53589.7762,25911.7484,52154.6602,39626.8666,34655.571,36940.0978,5074.0242,49296.5877,44151.2614,55204.466,-1999.0057,-2512.8275,23598.5219
53593.8442,25910.7649,52149.6981,39627.7606,34655.9733,36939.0249,5068.8833,49295.6042,44148.6239,55205.3154,-1996.547,-2511.7099,23596.3315
53580.3884,25904.73,52148.2676,39625.2126,34636.3038,36931.8277,5070.7161,49274.9959,44140.0856,55197.2687,-2009.0193,-2522.4388,23589.8495
53568.4526,25896.9069,52145.3172,39616.8977,34620.1658,36922.6635,5067.3634,49253.4488,44127.211,55192.5749,-2021.2233,-2532.05,23587.8378
53577.5721,25896.5045,52145.1831,39620.6081,34622.7586,36924.4516,5064.7259,49249.202,44125.0652,55190.1162,-2015.5013,-2527.222,23590.5647
53594.8277,25902.0478,52150.9051,39628.0289,34640.8188,36929.2349,5067.9892,49267.6646,44134.4082,55192.9325,-2003.8784,-2513.6769,23594.3198
53601.0414,25902.316,52152.5592,39634.6003,34653.9617,36926.5527,5068.3469,49268.3351,44139.7727,55191.8596,-2002.7608,-2510.0559,23593.8728
53588.3904,25896.4598,52149.6981,39628.7888,34636.1697,36920.6518,5066.3799,49251.7948,44127.9709,55188.7304,-2013.5343,-2517.6555,23589.0448
53571.9395,25888.592,52150.5028,39612.3827,34609.2582,36918.1037,5068.2575,49229.5325,44118.4044,55184.707,-2025.1125,-2528.6078,23589.9836
53585.574,25897.8009,52153.1403,39612.6509,34614.712,36921.9929,5073.5325,49231.0077,44122.6512,55191.502,-2015.0989,-2520.6506,23597.5832
53607.2552,25908.9768,52156.4484,39622.888,34643.7693,36927.1338,5079.5227,49248.2632,44134.587,55201.3367,-1998.4245,-2505.4067,23602.7241
53614.0054,25911.0332,52155.1967,39631.4263,34651.1453,36925.4798,5076.7958,49249.0232,44140.175,55201.6944,-1997.9775,-2502.5457,23599.2372
53596.0346,25903.0312,52151.5757,39622.128,34633.0404,36917.5225,5070.6267,49228.3702,44123.2324,55192.9772,-2010.5839,-2517.2532,23594.901
53584.3223,25893.7329,52149.9664,39606.303,34609.3476,36908.9395,5063.8765,49205.035,44112.3247,55191.2785,-2023.5479,-2528.9208,23590.9224
53586.2893,25892.3471,52150.0111,39604.2019,34606.3972,36906.6149,5062.7589,49208.656,44120.0584,55195.2571,-2019.1222,-2522.9752,23590.2071
53613.916,25903.6124,52148.9829,39615.1543,34626.2008,36913.4545,5061.6413,49231.1418,44131.9048,55198.5651,-2006.65,-2510.5476,23592.5317
53628.1317,25911.1673,52153.3638,39621.8598,34639.3883,36918.1484,5064.9494,49238.3838,44136.0623,55201.1132,-1999.408,-2508.2678,23595.0798
53615.8383,25910.1838,52157.7448,39614.5731,34629.0618,36922.6635,5066.7822,49222.4693,44130.2955,55197.5369,-2004.5936,-2512.2017,23593.1575
53599.9686,25910.0944,52154.7943,39608.9852,34613.2815,36924.3175,5070.0009,49210.5335,44118.0021,55190.0268,-2018.407,-2523.914,23588.1507
53606.8082,25912.1954,52150.2346,39614.2155,34613.8626,36927.3573,5072.6384,49224.0787,44120.6843,55195.3018,-2013.3108,-2521.8129,23590.52
53636.2231,25912.866,52149.8322,39624.8102,34634.6498,36938.0862,5074.4265,49252.1971,44140.0409,55204.3766,-1995.0718,-2505.7197,23597.7173
53642.571,25905.0429,52145.5854,39623.2009,34641.4,36932.2747,5072.102,49266.1893,44147.3275,55204.7342,-1995.9658,-2501.9199,23596.7785
53620.3086,25900.3937,52143.3055,39615.5119,34623.1163,36925.4798,5067.6763,49247.0562,44139.6832,55203.1249,-2012.1932,-2516.0909,23592.9787
53599.9686,25889.2626,52143.2161,39608.9852,34603.6702,36916.092,5066.3352,49221.1282,44130.2955,55198.1181,-2024.3973,-2528.3843,23589.0895
53599.3874,25888.3685,52144.2443,39603.4867,34605.6819,36913.4992,5065.6199,49227.5655,44135.6599,55197.8052,-2022.4303,-2522.0364,23591.4141
53605.1542,25886.178,52144.4231,39607.9123,34625.2173,36910.9958,5061.9096,49246.5645,44146.7911,55204.4213,-2008.6169,-2513.3193,23591.8164
53616.8665,25890.6484,52147.2394,39613.4555,34633.8451,36914.7062,5064.9494,49252.5548,44152.8261,55207.8187,-1999.408,-2509.9665,23593.381
53609.8927,25895.2528,52150.8157,39611.3545,34618.0648,36918.4613,5066.9611,49230.6501,44147.6405,55200.0403,-2015.5013,-2519.533,23589.0448
53595.0959,25886.178,52148.67,39601.7432,34600.988,36914.9745,5065.9776,49210.757,44132.3519,55190.742,-2030.611,-2534.3299,23582.7863
53596.0793,25891.3189,52147.4183,39605.7218,34609.5264,36914.0804,5064.7259,49226.8056,44135.4811,55188.3727,-2028.0629,-2535.3134,23583.1439
53616.5982,25906.2052,52150.0558,39623.8267,34633.9792,36925.7033,5064.9494,49263.5518,44154.4801,55194.8547,-2009.8686,-2516.5379,23587.2567
53625.4495,25911.4355,52152.1121,39629.1018,34646.0044,36933.1241,5068.1233,49273.6995,44161.4538,55208.2658,-2001.5091,-2509.2959,23591.9058
53609.3563,25913.313,52153.2744,39617.7024,34628.2572,36928.3855,5069.7774,49260.8249,44151.3956,55204.6448,-2013.0426,-2520.4271,23589.9836
53592.2796,25906.6969,52150.9498,39610.2369,34609.7946,36923.0211,5066.9163,49244.5529,44143.6619,55200.085,-2025.0231,-2532.6759,23588.5978
53598.6274,25912.4637,52150.9051,39621.0551,34618.0648,36929.9054,5065.0835,49255.8181,44152.379,55200.4427,-2020.1504,-2526.9091,23590.4306
53620.0404,25922.7008,52151.1734,39632.4992,34644.9763,36940.679,5067.9445,49282.372,44166.6394,55210.5457,-2002.5373,-2512.3805,23593.4705
53632.2445,25925.3383,52152.7827,39634.1532,34651.1006,36944.7917,5066.4693,49297.1689,44174.0602,55212.5126,-1998.5139,-2510.6817,23593.7834
53631.5739,25922.3878,52156.9401,39628.2077,34635.9909,36944.1211,5063.7424,49285.5906,44167.5335,55207.5952,-2008.4828,-2519.8907,23591.7717
53625.1813,25913.8495,52158.8176,39621.7704,34616.8578,36948.368,5063.9212,49273.2078,44161.8562,55204.2872,-2018.3176,-2528.8314,23592.6211
53630.4563,25908.7086,52157.7001,39621.7257,34624.7703,36955.2076,5064.3682,49280.9415,44170.0369,55203.4825,-2013.2661,-2526.4174,23595.3033
53656.0714,25915.6376,52158.9518,39639.3836,34658.2085,36964.3271,5069.375,49311.0269,44179.5588,55206.9694,-1997.1281,-2509.3406,23596.1527
53655.8479,25912.7319,52156.3143,39639.7412,34670.949,36958.7839,5068.2575,49316.2125,44184.5208,55209.8751,-1988.5898,-2502.6798,23597.8961
53637.9218,25904.5511,52151.7992,39628.0289,34651.9947,36952.3913,5065.0835,49306.8248,44176.8318,55202.9014,-2000.1233,-2511.7993,23594.9904
53611.0103,25892.3918,52147.15,39614.1261,34626.7372,36940.7684,5062.5801,49288.9881,44168.517,55198.2075,-2015.8589,-2524.4057,23590.7435
53611.9044,25891.0954,52147.463,39613.5896,34637.9131,36941.9754,5059.1826,49288.4517,44175.3566,55202.5437,-2014.7413,-2523.5564,23593.6493
53634.4796,25899.4102,52147.2394,39622.9774,34657.672,36946.2222,5064.6812,49308.6576,44190.377,55209.2046,-1997.7093,-2509.3853,23597.2255
53638.503,25905.1323,52147.7759,39625.1231,34666.7022,36945.8199,5067.6316,49315.1397,44191.0923,55211.7974,-1992.479,-2503.6633,23596.555
53622.9014,25898.695,52143.082,39614.0367,34646.3174,36934.5993,5062.446,49305.4837,44172.6744,55199.7721,-2006.4265,-2519.4436,23589.6707
53613.022,25889.9778,52142.7691,39601.6985,34630.1794,36926.1056,5058.4227,49285.0542,44164.6278,55199.5933,-2024.889,-2530.6642,23585.5132
