FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
57012.7219,28370.5741,54137.8409,42538.7174,36930.4866,39550.6471,5724.1023,50153.777,43738.9165,55819.4071,866.1747,-562.4145,26327.5802
57025.2389,28380.3642,54134.9351,42542.8748,36943.7188,39554.4469,5731.3889,50167.5457,43745.8456,55826.2914,871.0921,-558.883,26326.6861
57008.6986,28383.8511,54133.4152,42530.8049,36925.1221,39545.5062,5727.0974,50161.6001,43738.3801,55822.1787,851.5567,-570.5059,26323.3334
56990.1913,28379.9171,54136.1868,42522.3112,36904.4691,39539.7842,5722.18,50143.6293,43729.1265,55816.9931,829.2049,-586.9567,26318.9971
56992.2924,28369.4565,54134.4881,42521.6854,36909.4759,39540.2759,5719.9448,50141.26,43733.5521,55819.1389,832.2895,-586.1074,26316.4937
57005.614,28370.0377,54132.0294,42532.593,36921.3223,39538.5325,5720.6601,50160.1249,43743.0292,55820.8376,849.2768,-573.1434,26319.9359
57013.2583,28376.6985,54129.9284,42541.3102,36934.2417,39538.9348,5726.2033,50180.2415,43745.3985,55822.8493,864.6995,-565.365,26323.4675
56999.6238,28372.407,54124.9663,42531.5201,36922.7976,39535.4927,5722.9847,50165.9364,43742.1799,55819.3177,852.406,-575.4232,26318.2372
56989.6102,28369.4565,54125.9944,42522.2665,36899.9094,39527.1778,5723.4317,50136.4768,43734.6697,55821.3741,834.9717,-586.2862,26315.8679
56993.4547,28366.6402,54128.8555,42527.1839,36897.1825,39534.3304,5723.4764,50140.0083,43730.8252,55824.548,838.3244,-584.5875,26316.5832
57015.0912,28370.9764,54129.9284,42543.9924,36928.6984,39552.48,5724.9069,50167.2775,43738.2907,55829.6889,858.7539,-567.7342,26320.6959
57031.8103,28379.0678,54125.1004,42542.0702,36941.6624,39556.2798,5722.6717,50181.0461,43747.6784,55828.7948,863.9395,-559.777,26319.8912
57019.8745,28383.0911,54121.6582,42534.6941,36929.6372,39549.306,5723.6999,50173.5806,43748.5278,55824.4139,853.3001,-571.3552,26316.9855
