FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
51530.8678,24219.9451,50752.8037,37623.4353,33387.4226,35039.3504,4609.108,48388.4364,44031.5455,54623.1419,-3782.2276,-3601.1338,21898.1802
51531.0913,24216.637,50750.7473,37621.6024,33386.5732,35039.0822,4605.2188,48390.1352,44029.7127,54624.93,-3783.3899,-3603.1902,21897.1968
51522.1059,24218.6487,50748.4227,37621.4683,33381.3429,35042.6137,4604.0565,48383.3402,44013.3065,54618.0457,-3786.3404,-3612.2203,21894.2463
51513.2993,24220.3027,50748.378,37614.0922,33364.6238,35041.3173,4601.6872,48381.3286,44005.5728,54613.6647,-3795.8175,-3624.2008,21892.19
51522.8659,24231.7915,50750.792,37620.9319,33373.0727,35046.5477,4601.4637,48402.3839,44016.6593,54615.0953,-3793.2247,-3622.6362,21888.7925
51534.757,24235.3678,50749.2721,37629.4255,33393.8152,35044.536,4602.7154,48422.2323,44029.9809,54616.0787,-3781.0206,-3609.7616,21887.8984
51533.6841,24232.5515,50749.3615,37632.8677,33399.8948,35042.122,4600.3461,48432.2011,44029.3998,54618.4033,-3780.7524,-3607.7499,21890.7148
51519.2449,24230.2716,50746.8134,37622.5859,33380.3594,35033.7178,4594.4452,48411.5481,44018.7603,54612.0554,-3795.8175,-3622.7703,21882.847
51502.4811,24219.5427,50743.7289,37617.8026,33359.4382,35027.8169,4591.9865,48388.9729,44009.8196,54606.3781,-3805.697,-3632.9627,21876.052
51516.4286,24224.2366,50746.1876,37625.0893,33370.8376,35034.1648,4593.9088,48399.2547,44014.9605,54611.4743,-3800.2878,-3626.9277,21878.6448
51532.7901,24223.6108,50743.5501,37627.2351,33394.3516,35041.5856,4592.6571,48419.7736,44029.4445,54611.3849,-3788.0391,-3618.1211,21879.1813
51533.4159,24224.4154,50734.9223,37624.9999,33398.2408,35043.329,4582.7329,48419.416,44025.0188,54604.0088,-3789.559,-3620.1328,21873.4592
51519.6919,24215.2512,50731.346,37612.2147,33385.9473,35034.1648,4574.5522,48398.9418,44014.6476,54600.7454,-3805.1158,-3634.5273,21865.8596
51500.693,24204.9247,50729.7367,37600.0553,33366.4119,35033.1813,4570.5289,48388.9729,44008.4785,54597.8397,-3817.4093,-3647.9831,21862.4175
51509.1866,24204.8353,50725.4004,37606.4032,33371.3293,35038.501,4572.5852,48400.4617,44013.3512,54600.7007,-3815.1294,-3640.5176,21863.8927
51535.7852,24218.5593,50734.3411,37622.4071,33397.8832,35045.1171,4584.2975,48419.863,44034.0936,54615.3188,-3793.7611,-3618.9705,21874.9344
51540.345,24226.3824,50741.4043,37623.167,33411.0707,35047.3076,4589.8408,48430.9942,44048.4881,54621.0855,-3786.4298,-3615.126,21879.1813
51525.0564,24217.6205,50744.8912,37615.2098,33396.1844,35039.9315,4589.9749,48413.6045,44035.4347,54615.9446,-3801.4054,-3621.6974,21877.6166
51514.1934,24217.397,50749.6744,37602.7375,33374.995,35034.2989,4588.0973,48401.9369,44036.2394,54613.0836,-3814.1459,-3629.6546,21876.5885
51521.793,24224.7283,50753.3401,37604.7939,33386.6626,35039.5292,4594.3558,48407.2119,44047.3258,54621.9796,-3802.3442,-3620.8034,21881.9529
51542.5801,24232.8197,50757.274,37618.2497,33408.2991,35046.5924,4601.5531,48432.067,44058.0994,54627.9699,-3785.3569,-3606.0512,21886.7362
51547.721,24235.4125,50760.7162,37619.6802,33413.3059,35047.2629,4606.5599,48442.7512,44054.8807,54630.9203,-3780.6183,-3604.0843,21888.8372
51538.0204,24226.3377,50760.9844,37601.5753,33394.0834,35042.3902,4604.5929,48423.3499,44040.0392,54628.3722,-3792.6435,-3613.2485,21883.5175
51521.1225,24218.9616,50762.1914,37594.4227,33380.0465,35037.3834,4603.0283,48401.5346,44038.3852,54632.7531,-3799.5279,-3621.2951,21883.294
51529.3926,24221.2415,50758.5257,37597.0155,33394.2175,35037.6964,4602.5366,48414.1409,44045.5824,54632.0379,-3791.7048,-3615.573,21886.155
51537.4392,24220.258,50755.2177,37609.8454,33413.8423,35040.468,4600.8825,48429.206,44053.0926,54633.2002,-3778.2937,-3600.508,21888.7478
51542.446,24220.9285,50757.2293,37607.6102,33417.9997,35042.7926,4601.7766,48426.9708,44060.3346,54638.3858,-3779.0984,-3597.9152,21891.8771
51526.7998,24214.1783,50753.653,37594.0204,33401.9065,35036.6235,4598.3791,48411.2352,44055.0148,54634.3178,-3794.7446,-3608.5993,21887.1832
51513.9699,24208.0986,50750.2556,37590.2653,33387.1543,35033.8519,4599.5861,48405.0214,44047.6388,54630.2944,-3803.5065,-3616.0201,21886.602
51513.9699,24203.9412,50747.2157,37592.9028,33388.0484,35036.6235,4598.2003,48417.6278,44053.4055,54634.4072,-3801.1372,-3612.5332,21886.8703
51531.5384,24208.3669,50745.517,37596.8367,33406.6004,35039.3951,4597.798,48445.5675,44052.5562,54634.2731,-3793.3588,-3604.9783,21886.1103
51525.0564,24205.5058,50741.4937,37601.7988,33417.2398,35033.7178,4595.2499,48445.5228,44049.3375,54631.9038,-3793.9399,-3604.129,21880.0306
51511.9582,24197.191,50739.1691,37591.5617,33392.787,35029.5603,4589.1702,48425.9874,44042.0061,54628.6851,-3812.1343,-3616.4671,21873.3698
51506.4597,24196.7887,50737.828,37584.1856,33379.3312,35025.7605,4585.281,48411.5481,44033.1101,54625.2429,-3823.8019,-3626.0784,21870.5982
51516.7862,24201.4825,50741.0914,37593.3498,33391.2224,35031.0355,4590.3772,48425.2274,44048.6223,54628.4616,-3810.7485,-3619.6858,21875.4262
51526.4422,24206.6681,50740.7337,37604.5257,33406.0192,35034.7012,4593.5959,48447.3109,44057.6524,54633.2896,-3798.9914,-3610.4321,21874.9791
51522.8212,24213.8207,50736.4869,37604.7045,33405.6169,35029.3368,4590.3772,48448.6073,44049.5163,54630.6074,-3801.1372,-3615.3048,21871.8052
51505.2527,24213.016,50735.414,37597.999,33384.4721,35027.8169,4585.6386,48420.6229,44036.3735,54626.4052,-3812.4919,-3630.5487,21865.4126
51492.6463,24207.741,50732.4636,37587.7172,33363.4615,35026.9675,4581.973,48401.9369,44028.1928,54619.7891,-3824.2936,-3642.6187,21860.1823
51507.6667,24207.741,50731.4801,37588.6559,33372.3575,35026.3864,4580.766,48426.3003,44037.7593,54621.0408,-3823.1313,-3639.1318,21856.9189
51519.4684,24212.0326,50731.8377,37597.239,33392.4741,35027.1016,4584.1187,48446.238,44054.9701,54626.9417,-3811.419,-3628.3135,21861.8363
51523.2235,24218.0228,50732.0613,37613.8687,33405.5275,35036.8023,4590.5113,48444.7181,44054.8807,54626.7182,-3803.6853,-3623.7985,21866.3961
51507.7114,24216.1453,50733.0,37609.2196,33394.1281,35036.4447,4586.9797,48433.8999,44042.1402,54623.276,-3809.8097,-3629.2076,21867.4242
51497.1167,24209.0374,50732.4189,37600.0553,33379.3759,35032.0637,4580.2295,48413.6045,44029.2656,54618.6715,-3822.0584,-3637.0754,21862.1492
51503.6434,24205.9976,50731.2119,37601.1282,33389.7918,35032.5108,4579.1566,48421.0253,44033.0654,54620.415,-3817.8116,-3633.8568,21862.5069
51521.2119,24213.6866,50732.8212,37616.0145,33420.0114,35038.8139,4585.281,48440.516,44043.3472,54627.1205,-3798.2315,-3623.1279,21870.6876
51530.9572,24211.1832,50732.0166,37617.2215,33422.2913,35037.7858,4587.1586,48448.0262,44054.2102,54630.4286,-3791.4813,-3617.8976,21874.7109
51520.3178,24204.2094,50731.346,37610.5607,33400.6101,35040.6468,4587.0692,48429.2507,44052.0197,54629.1322,-3800.5114,-3627.2854,21876.6779
51509.8125,24206.6234,50735.9058,37607.789,33383.2204,35043.0161,4592.8806,48419.416,44048.0858,54625.5112,-3808.7815,-3635.4214,21876.812
51517.9932,24219.1851,50736.8892,37611.3206,33394.3516,35043.6419,4595.9204,48434.2128,44047.147,54625.0194,-3806.0546,-3625.8996,21881.3717
51532.5218,24225.2648,50736.3975,37623.3459,33421.8442,35046.9053,4600.3014,48458.1739,44059.8875,54632.619,-3790.0507,-3609.0016,21887.4067
51542.1331,24227.5894,50741.9407,37629.0232,33427.7451,35050.7051,4603.2518,48467.9192,44066.146,54639.8163,-3780.8865,-3601.715,21892.0112
51538.6015,24227.947,50743.7736,37624.6423,33413.5294,35048.8275,4602.8942,48459.7385,44059.664,54637.9834,-3786.8768,-3606.7665,21889.6866
51521.2119,24222.4038,50736.8892,37616.9086,33395.4692,35042.6137,4597.9321,48435.5539,44051.3045,54631.8144,-3801.0925,-3619.3728,21884.0539
51526.0398,24228.0364,50736.8445,37621.513,33403.6499,35048.3805,4601.7319,48442.5277,44059.3511,54637.5364,-3794.5211,-3610.3427,21886.3338
51545.9776,24236.4854,50740.5102,37637.2486,33425.5099,35053.3426,4606.5599,48465.1923,44075.042,54646.1642,-3775.4774,-3595.9929,21890.6701
51553.756,24237.6029,50740.7784,37638.0086,33433.1989,35050.0792,4603.3412,48471.2273,44078.5736,54645.6724,-3777.9808,-3596.6188,21888.6584
51534.5335,24226.74,50734.8329,37628.0844,33417.2398,35042.5243,4595.4287,48451.826,44066.0566,54637.3129,-3792.733,-3613.1144,21881.0141
51514.1934,24217.7099,50734.1623,37612.17,33392.2952,35037.7411,4592.9253,48430.9047,44053.4055,54628.5957,-3805.0711,-3627.2854,21875.7838
51519.9155,24212.4796,50735.2352,37608.9513,33398.3302,35039.8868,4590.3325,48441.0971,44054.4337,54629.0874,-3803.5512,-3624.022,21874.1298
51551.8337,24217.1288,50740.4208,37624.9552,33422.3807,35041.0044,4594.5793,48470.1097,44077.0537,54643.3032,-3787.5921,-3610.3427,21879.0025
51557.5558,24216.3688,50741.2702,37621.2448,33424.2135,35037.7411,4591.316,48472.7472,44072.8962,54644.3313,-3791.6154,-3612.0415,21878.019
51538.5121,24210.6915,50740.7784,37609.9795,33409.5955,35033.3601,4587.248,48449.9037,44058.9935,54635.5247,-3805.0264,-3625.8548,21870.0171
51521.793,24206.4446,50734.6988,37596.1214,33391.8929,35029.2027,4580.453,48428.3119,44049.1587,54630.5627,-3815.04,-3641.2776,21863.6692
51525.2799,24205.6847,50729.3344,37599.1613,33400.1184,35025.984,4578.8884,48432.1564,44053.7632,54631.0544,-3815.9788,-3637.4331,21862.4622
51535.0699,24205.5506,50729.4685,37614.0028,33420.8161,35034.5224,4581.973,48456.0281,44064.5814,54636.1059,-3804.0429,-3623.1726,21865.949
51534.5335,24208.0986,50732.4189,37617.6685,33428.6392,35035.7294,4584.074,48463.7618,44072.2704,54639.5928,-3794.8787,-3619.2387,21870.6429
51525.3693,24202.1084,50734.3858,37608.2361,33408.4779,35030.9014,4581.1683,48450.7084,44067.4871,54637.1788,-3803.6853,-3627.643,21871.7158
51510.5277,24193.2124,50735.6822,37599.8765,33389.3895,35029.2027,4580.8107,48443.0641,44060.3346,54632.1273,-3819.868,-3636.7625,21871.984
51517.2333,24199.9626,50734.2517,37601.7094,33399.2243,35031.7955,4584.2975,48454.0612,44060.3793,54632.6637,-3817.8563,-3631.6663,21872.5652
51533.7288,24205.6847,50728.1721,37615.7016,33420.5031,35033.8072,4581.4812,48468.5451,44072.181,54639.1457,-3802.4783,-3622.5468,21873.3698
51528.9903,24205.1035,50723.9699,37616.7744,33421.6207,35034.0754,4577.9943,48471.5402,44071.1081,54635.4353,-3804.8029,-3628.9394,21871.1793
51513.9699,24198.3533,50727.3227,37605.1962,33405.1251,35026.5652,4574.9098,48462.6442,44061.4074,54634.2283,-3818.9739,-3637.4331,21867.5137
51503.9116,24197.638,50726.3392,37598.2225,33390.0601,35021.7372,4570.8418,48443.0641,44050.9021,54628.6404,-3828.5404,-3647.536,21861.7469
51512.2712,24198.9791,50727.4121,37599.1613,33391.1777,35027.6828,4575.5804,48453.7035,44060.4687,54632.7531,-3820.9409,-3640.16,21863.9374
51532.7901,24206.1317,50732.7318,37613.2429,33415.2728,35039.4845,4580.3636,48486.2477,44075.7573,54641.2915,-3807.6639,-3626.3019,21872.2522
51538.1098,24209.2162,50732.553,37619.7249,33431.0979,35047.1288,4580.3636,48489.511,44073.5221,54638.3411,-3802.6571,-3624.2455,21874.9344
51519.9155,24201.8402,50728.6638,37610.0689,33407.1815,35040.1103,4577.7261,48471.3614,44064.0002,54630.0262,-3815.5317,-3632.2474,21867.5584
51505.1186,24193.6147,50724.9981,37596.9261,33387.9143,35033.5836,4572.6746,48455.8493,44055.1937,54621.309,-3831.3568,-3642.9763,21857.6342
51514.3275,24197.7274,50729.4685,37603.0505,33403.784,35038.9481,4577.3685,48463.4489,44065.8331,54627.7016,-3827.6017,-3635.5108,21864.3844
51539.7191,24207.2046,50739.6162,37624.1505,33436.4623,35052.4932,4588.6785,48496.6189,44088.9001,54642.9008,-3805.4734,-3610.5663,21876.6779
