FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
51772.4901,24429.6938,50882.9802,37834.5251,33529.2667,35261.929,4650.2352,48523.441,44009.4173,54705.5751,-3583.6995,-3460.5414,22122.7705
51757.4698,24423.793,50883.2484,37823.4386,33517.5097,35258.5316,4649.1176,48506.2748,43991.4912,54699.9872,-3592.9084,-3470.5102,22119.1049
51756.4863,24425.6705,50879.0016,37824.0645,33514.2463,35255.8047,4645.0496,48496.9765,43984.3833,54696.7685,-3596.2164,-3477.8863,22116.4674
51769.2268,24434.5218,50877.3029,37834.4357,33536.2852,35263.7172,4645.2284,48520.1776,44004.2764,54702.2223,-3583.0289,-3464.4753,22120.6695
51785.4542,24446.547,50879.9404,37839.4425,33546.1199,35270.2886,4648.2235,48555.4934,44015.9887,54705.1728,-3573.9988,-3452.8524,22121.4741
51770.4785,24450.928,50878.644,37830.1442,33530.1608,35265.1924,4646.346,48547.1785,44009.5961,54701.3283,-3580.5255,-3461.5695,22120.9824
51761.8507,24456.9182,50881.1027,37832.1111,33515.811,35266.5335,4649.5646,48532.5158,44002.8459,54699.3166,-3590.0027,-3470.5997,22118.7472
51759.4367,24459.6452,50882.3097,37832.7817,33513.6205,35266.9358,4649.7881,48528.7607,43990.5077,54697.2603,-3594.1154,-3471.6278,22113.0252
51779.8215,24460.718,50884.2319,37838.5037,33539.9508,35273.1496,4655.7784,48556.7451,44005.7516,54703.5635,-3576.5469,-3454.417,22118.7472
51791.802,24466.7977,50885.886,37843.9128,33550.5903,35280.9727,4658.8629,48576.6381,44021.5319,54706.2457,-3568.8579,-3446.1468,22127.6879
51790.1033,24469.7034,50887.9423,37847.2209,33542.0519,35286.4265,4656.9407,48578.5156,44026.2258,54705.5751,-3575.1164,-3451.7348,22129.1184
51775.4853,24469.4352,50884.4107,37837.8779,33523.7235,35281.3751,4649.8775,48559.0696,44013.2171,54694.5333,-3591.1649,-3468.1857,22121.6083
51770.7467,24467.6918,50879.7616,37835.0168,33528.4621,35280.8386,4644.2896,48566.0434,44008.1656,54693.2817,-3593.6236,-3470.3314,22116.5121
51793.2773,24468.407,50880.3874,37842.3035,33555.5971,35287.2759,4644.9602,48590.0939,44026.0023,54701.6859,-3575.0717,-3454.5511,22121.0718
51811.7845,24472.788,50884.0978,37850.216,33569.0081,35297.2448,4651.5316,48601.7615,44035.6135,54709.2408,-3562.8229,-3447.1303,22126.928
51801.8603,24463.9367,50884.6343,37842.08,33556.0441,35293.4897,4648.0,48599.2134,44021.7555,54705.5751,-3577.3069,-3458.7085,22120.9377
51778.5251,24452.0456,50885.0366,37831.4406,33531.2337,35282.4032,4643.6191,48576.9063,44005.1258,54699.1825,-3595.9035,-3474.0418,22115.6627
51777.4522,24451.7326,50888.3893,37831.9323,33534.8099,35282.135,4643.4402,48571.4972,44010.4902,54702.3565,-3593.0872,-3473.5501,22116.1544
51796.4959,24463.7132,50892.2786,37843.3764,33560.5145,35287.3206,4649.207,48599.124,44022.426,54710.9842,-3575.474,-3455.4899,22123.0835
51807.3142,24461.6121,50891.3845,37844.5834,33572.5844,35287.8124,4650.5481,48615.1725,44035.7029,54715.6334,-3572.3448,-3452.003,22126.3915
51804.9896,24459.6452,50891.2504,37837.4308,33561.4085,35284.0573,4651.7998,48602.432,44033.289,54709.7325,-3580.9278,-3457.725,22124.6034
51790.148,24455.6218,50895.0949,37825.8526,33534.4523,35280.5257,4650.2352,48574.85,44026.4046,54709.1067,-3593.8919,-3466.7104,22124.1117
51787.1529,24451.8667,50895.1843,37826.6573,33539.8167,35283.3867,4656.1807,48574.3135,44033.8254,54711.6548,-3590.7179,-3463.5812,22126.9727
51803.6485,24457.5888,50897.0618,37841.633,33566.7282,35289.2876,4663.5568,48603.5943,44049.9634,54719.2097,-3567.4721,-3447.2197,22134.2146
51816.076,24463.3555,50898.85,37845.4328,33579.2899,35287.9465,4666.0602,48615.4407,44064.939,54728.3292,-3554.4187,-3441.1401,22141.6801
51811.114,24465.099,50902.2474,37843.0635,33572.1374,35284.5937,4669.3236,48604.9354,44064.5814,54730.0726,-3562.1077,-3445.968,22141.6801
51795.5571,24454.996,50903.5438,37829.7865,33548.1763,35276.2789,4666.4178,48587.054,44051.8856,54727.1669,-3581.2855,-3457.5015,22136.1816
51792.4726,24445.0718,50902.5156,37823.081,33549.875,35276.2341,4665.5238,48583.6565,44041.7826,54724.4847,-3587.0969,-3458.1274,22134.5723
51808.7894,24448.3799,50901.8004,37830.5018,33565.1189,35281.9562,4668.653,48593.0443,44059.9769,54731.4137,-3573.4177,-3442.3918,22138.5509
51810.0858,24457.5441,50900.7275,37832.9605,33577.5912,35283.4761,4669.4577,48609.0481,44071.1081,54737.0911,-3563.0018,-3433.3169,22137.3886
51801.7709,24449.9445,50900.9063,37831.2618,33572.2268,35287.8571,4671.3352,48607.9305,44059.3958,54734.543,-3566.7568,-3439.2178,22136.4051
51794.1266,24448.4246,50903.2756,37833.1393,33555.0159,35290.2263,4676.8337,48590.8538,44054.2102,54730.922,-3574.2223,-3447.935,22135.8687
51797.39,24452.8949,50907.5671,37834.7486,33557.8322,35286.963,4675.4926,48594.9665,44059.7534,54731.7266,-3577.2175,-3445.7445,22137.7909
51814.2432,24460.5392,50909.5341,37843.6893,33580.9886,35291.7463,4677.7725,48620.5816,44071.5998,54738.9239,-3562.2865,-3434.7475,22143.5577
