FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
54678.306,26693.3441,52863.5681,40540.4717,35498.8575,37811.9498,5471.0805,49863.8302,44447.6455,55657.3123,-1132.071,-1809.3288,24446.3682
54671.8687,26690.2596,52861.3776,40539.22,35496.6223,37807.703,5466.6996,49853.459,44452.7417,55658.1616,-1131.0428,-1808.7476,24445.2953
54682.9998,26689.9019,52859.5895,40545.7914,35510.5698,37810.3405,5463.2574,49873.8438,44461.0119,55658.8769,-1114.9943,-1797.2589,24447.3517
54692.2088,26692.8077,52855.2085,40546.5513,35521.3434,37807.256,5461.1117,49891.5911,44465.0352,55658.564,-1110.4345,-1794.6661,24446.3682
54680.3176,26682.4365,52852.8392,40536.359,35502.8361,37799.2988,5456.9989,49883.9915,44454.6193,55654.4513,-1127.1536,-1807.8536,24441.6744
54655.1943,26665.1362,52844.6138,40519.1928,35479.0539,37791.5651,5450.4275,49859.3152,44433.8769,55643.2307,-1149.2372,-1824.7962,24432.8678
54648.2652,26666.0303,52842.6468,40519.1481,35482.4513,37788.6593,5446.896,49852.9226,44435.1733,55642.7836,-1151.3382,-1825.6009,24430.1856
54672.3157,26676.7144,52843.9432,40535.5096,35503.9537,37792.5038,5450.7405,49868.5688,44448.182,55648.5951,-1135.2897,-1815.5426,24432.7337
54676.339,26678.6367,52837.3271,40535.1967,35504.8925,37791.1627,5446.0019,49873.5756,44446.3044,55643.633,-1130.5958,-1815.9449,24430.4091
54657.5636,26667.5949,52827.1794,40519.2822,35488.4416,37784.9042,5436.793,49865.7525,44436.872,55639.4756,-1146.3314,-1830.25,24424.6423
54639.4587,26652.1275,52818.4623,40496.9305,35456.7021,37771.8061,5427.2264,49834.6835,44412.598,55624.4999,-1167.4762,-1849.9196,24414.1817
54640.4421,26650.25,52817.5682,40495.187,35449.3707,37771.3591,5426.8688,49825.9664,44417.5601,55616.9003,-1174.0029,-1850.6795,24410.4713
54656.4013,26657.179,52820.2057,40505.7371,35472.9295,37775.4271,5425.7512,49840.4056,44433.7875,55622.8906,-1162.0671,-1836.9555,24413.0641
54668.5606,26661.7388,52825.5701,40516.153,35491.1685,37781.6856,5428.0758,49862.2209,44434.011,55624.2317,-1154.3334,-1827.5231,24414.4052
54662.0339,26664.868,52826.9559,40512.6661,35481.7361,37779.8527,5432.9038,49856.0518,44432.4911,55624.6787,-1161.173,-1832.0382,24413.2876
54653.8085,26660.3082,52825.7489,40502.876,35458.6244,37775.74,5432.1885,49834.3259,44421.6728,55618.2414,-1169.5772,-1843.4823,24412.483
54649.0699,26655.525,52820.8762,40499.1657,35452.6788,37776.1424,5426.6453,49840.8526,44418.2754,55609.7031,-1173.5559,-1844.0634,24409.8902
54665.6549,26657.8943,52821.5915,40507.2123,35475.1647,37782.1326,5425.93,49867.8982,44436.3356,55614.9781,-1153.931,-1829.4901,24414.1817
54679.6918,26657.8496,52817.747,40514.5437,35492.0179,37786.3795,5427.6288,49879.7446,44438.2131,55616.3192,-1145.0797,-1826.5396,24412.8853
54675.7132,26653.2451,52814.6178,40518.3434,35477.4892,37780.2998,5424.1419,49871.9215,44424.2209,55611.0889,-1153.8863,-1840.2189,24407.4315
54656.3119,26639.387,52814.6625,40510.7886,35460.189,37773.0131,5424.7677,49843.1772,44411.3016,55606.1715,-1170.6948,-1850.903,24404.5705
54653.0485,26640.9069,52820.2057,40510.0286,35464.5699,37774.4883,5430.4898,49839.9138,44424.0421,55619.4484,-1167.1185,-1844.9128,24413.0641
54665.789,26646.629,52819.4457,40520.3998,35491.3026,37784.9936,5434.7366,49864.6349,44442.8176,55623.3376,-1151.83,-1827.1208,24414.8523
54675.6238,26651.0993,52816.1377,40525.1831,35501.6738,37783.6525,5430.4898,49887.076,44449.2549,55624.0082,-1143.4704,-1822.2034,24412.7512
54669.6782,26651.9487,52817.4341,40516.5553,35479.3221,37778.914,5431.2944,49881.9798,44445.2763,55620.2084,-1154.9145,-1830.25,24409.1749
54651.4839,26647.1207,52816.3612,40500.5068,35452.8129,37772.2085,5429.0146,49859.8516,44432.5358,55615.3357,-1166.6268,-1845.4045,24405.7775
54642.3644,26648.5959,52812.8743,40494.4718,35451.5612,37767.4252,5423.4713,49854.1296,44431.6417,55612.5194,-1170.6501,-1846.0751,24404.1234
54651.6627,26654.1839,52810.4156,40501.1773,35473.153,37771.4932,5424.0972,49868.5688,44437.4084,55620.4319,-1160.9495,-1836.5979,24406.8056
54664.4926,26650.1606,52810.2368,40507.5699,35486.117,37771.8061,5424.9913,49878.0906,44444.4269,55620.6107,-1156.5685,-1833.1558,24407.0739
54658.0106,26639.5211,52807.1076,40495.5,35470.5155,37766.397,5420.655,49871.9215,44433.9663,55615.0675,-1174.0029,-1842.0964,24400.4577
54638.6987,26630.7592,52800.3573,40476.4563,35437.8372,37756.5175,5411.8484,49849.1228,44407.9489,55602.0588,-1192.6442,-1863.9117,24389.7289
54629.4898,26625.9313,52794.8588,40474.087,35433.1881,37754.1482,5405.0088,49838.841,44406.116,55599.0189,-1194.6559,-1868.6503,24389.9524
54640.8892,26625.7524,52796.5128,40484.9946,35458.982,37761.3008,5405.6793,49857.2588,44419.8847,55602.9528,-1183.8824,-1856.5804,24391.517
54644.376,26619.7175,52792.9813,40487.5875,35465.8663,37757.054,5404.3829,49878.7165,44426.2326,55605.6798,-1175.8804,-1856.0439,24386.9126
54629.3557,26606.53,52780.509,40476.2328,35447.1356,37743.7323,5392.2683,49858.7787,44417.8283,55594.9956,-1191.0796,-1872.3607,24374.7979
54598.5103,26594.1918,52774.5187,40459.2901,35417.0501,37734.1211,5381.8077,49821.7642,44400.7963,55581.3611,-1212.2244,-1891.6726,24362.6833
54596.3198,26593.3871,52774.8317,40459.5137,35415.1726,37733.0929,5381.763,49822.3901,44399.9022,55574.9685,-1214.3701,-1891.8067,24361.4763
