FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
55854.4546,27586.2068,53620.8898,41573.1221,36343.8427,38748.5772,5890.0863,50243.9439,44434.2792,55945.7392,-124.231,-1071.9448,25494.2179
55866.1222,27587.1009,53623.3932,41578.2183,36352.9176,38757.6073,5893.8414,50257.1762,44438.7943,55948.3767,-120.163,-1065.0158,25498.2859
55887.2223,27595.818,53626.2095,41587.7849,36385.5511,38768.3809,5899.1611,50286.0099,44455.5581,55952.9364,-100.6275,-1051.0236,25503.0245
55894.5984,27607.128,53628.4,41598.6031,36397.2634,38777.0087,5898.3117,50291.4637,44460.386,55949.9413,-94.0114,-1049.5037,25504.5891
55882.8413,27601.8977,53628.9811,41595.4292,36377.6386,38769.8114,5893.7967,50275.7281,44442.5046,55944.5322,-108.853,-1061.0372,25496.9001
55864.3788,27596.0416,53630.054,41587.8296,36355.8233,38767.0398,5896.9706,50263.6135,44425.5173,55937.0667,-123.4263,-1068.1003,25494.9778
55873.4089,27602.3,53630.7245,41592.9258,36363.9146,38774.6394,5899.8764,50283.1936,44431.8205,55938.8995,-111.2223,-1058.0868,25501.9069
55896.7441,27611.4643,53627.2824,41607.7226,36388.0992,38783.3118,5898.58,50294.3248,44444.0246,55940.643,-90.1222,-1041.6806,25506.0196
55907.16,27616.0687,53631.6633,41615.7693,36402.2255,38790.3303,5906.1795,50297.8563,44451.2665,55950.4777,-83.4614,-1033.6339,25511.1158
55887.4458,27610.0785,53632.6915,41601.8665,36376.521,38780.4508,5903.2291,50286.5016,44445.7233,55952.6682,-97.0513,-1043.6475,25505.9302
55867.6869,27601.9424,53633.9432,41591.6294,36351.5764,38776.6957,5900.7704,50268.6203,44433.0275,55944.9792,-113.8151,-1058.0868,25502.3539
55876.0464,27605.6528,53631.0822,41591.0482,36364.4063,38778.4392,5898.0882,50277.6504,44438.5707,55944.3086,-114.2174,-1055.941,25504.0526
55897.817,27608.2456,53626.88,41600.123,36388.4568,38783.446,5897.1941,50307.0205,44451.4453,55950.6118,-99.8229,-1047.4473,25506.1984
