FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
51253.1251,24005.8154,50598.1296,37408.2327,33301.5919,34824.1031,4506.6923,48421.8746,44085.9497,54568.693,-3999.0395,-3747.8507,21681.1001
51244.4079,23998.5734,50590.6641,37405.774,33288.5385,34821.6891,4501.7749,48411.5034,44074.3268,54559.7523,-4012.1824,-3756.5678,21676.9427
51252.0522,24002.865,50588.3396,37413.463,33308.2527,34828.2605,4504.2783,48433.7211,44078.0371,54563.6863,-3994.9268,-3741.6816,21680.3402
51259.6071,23996.8747,50583.4669,37415.6088,33317.7745,34831.211,4503.0266,48454.1506,44085.3685,54563.9098,-3985.092,-3731.8915,21681.3236
51258.4895,23994.3266,50584.7633,37412.5242,33310.1749,34826.6065,4503.4736,48453.5694,44086.1732,54568.5589,-3991.4846,-3737.1665,21681.6813
51244.2738,23996.6512,50586.8196,37401.0354,33294.1264,34823.969,4503.3395,48434.9281,44079.2888,54568.1119,-4002.0347,-3745.5261,21681.0107
51238.1941,23997.1876,50590.9324,37399.5155,33283.0846,34824.3713,4507.3628,48424.2439,44072.8068,54566.592,-4001.4088,-3744.7661,21681.8154
51253.2145,24005.6366,50592.9887,37406.7575,33302.6648,34825.3995,4509.0616,48445.0758,44084.0721,54579.5113,-3987.7743,-3733.0091,21686.8669
51267.1173,24010.5093,50595.2239,37411.4513,33319.1156,34826.7406,4511.6544,48453.7035,44093.3257,54585.4568,-3980.9346,-3730.014,21691.6502
51263.0492,24009.8387,50599.1578,37411.0043,33309.5938,34830.1381,4516.3929,48454.8658,44093.6834,54582.6405,-3984.2427,-3731.0421,21692.1419
51242.9774,24000.2722,50597.7273,37404.12,33289.3878,34825.0419,4512.6826,48442.2147,44080.6746,54578.3937,-3999.3525,-3744.4532,21684.4976
51228.9405,23993.5219,50595.5368,37397.9509,33282.9505,34821.0186,4508.0334,48433.1399,44073.5221,54577.2314,-4009.9472,-3748.8341,21680.7872
51245.5702,23999.0205,50599.6048,37411.9431,33300.6084,34831.0322,4511.6097,48450.7531,44090.1071,54586.4403,-3996.9385,-3738.597,21686.1516
51270.2018,24008.9446,50604.1646,37426.3376,33322.5131,34835.5472,4516.1247,48469.7074,44100.2548,54590.3742,-3984.3321,-3729.8799,21686.9563
51266.0891,24007.7376,50602.7341,37419.6321,33309.9067,34830.6745,4514.2472,48463.0913,44094.8009,54583.4452,-3991.1717,-3736.8089,21681.6366
51255.5838,24005.6813,50601.2589,37410.6914,33285.4986,34829.4675,4512.9955,48444.5393,44085.145,54576.2032,-4004.091,-3747.3142,21676.898
51249.4594,24009.7493,50601.7059,37408.7244,33277.7649,34833.4908,4510.0898,48440.4266,44083.5357,54574.1022,-4006.7732,-3752.8127,21677.5239
51267.1173,24016.6336,50604.1646,37419.6768,33306.4646,34841.4928,4512.8614,48466.0864,44103.8311,54583.2664,-3985.2262,-3735.2443,21684.2294
51284.194,24014.5773,50599.3366,37424.3259,33323.3625,34841.2693,4510.4921,48476.5917,44109.5531,54586.6638,-3976.5537,-3728.0023,21688.1633
51278.5167,24015.516,50603.047,37423.1189,33315.137,34838.4976,4512.4143,48473.5966,44098.109,54586.9321,-3981.6946,-3734.5737,21688.6103
51251.8734,24008.8105,50603.8517,37410.0208,33291.5336,34831.5239,4508.9275,48451.1107,44092.6552,54577.8126,-3997.8772,-3745.6602,21682.7542
51252.3204,24007.1565,50605.5057,37408.8138,33286.3927,34832.5521,4510.8497,48435.4198,44093.7281,54579.6454,-3997.3855,-3744.5426,21683.1565
