FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
55314.9283,27141.7201,53221.1959,41102.0815,35944.6406,38318.4403,5727.3656,50117.8354,44530.2129,55791.0651,-570.0588,-1409.0538,24982.2736
55329.1887,27143.3741,53218.5137,41110.0388,35961.8962,38316.831,5725.6222,50133.3028,44539.243,55793.4791,-557.8101,-1397.8332,24983.57
55312.7825,27131.2594,53213.0599,41100.5616,35950.0498,38307.5774,5717.4414,50120.4729,44525.966,55782.0797,-571.3105,-1410.7972,24976.8645
55290.2073,27117.7143,53208.9472,41089.3857,35922.87,38302.0788,5709.5736,50093.919,44508.0847,55772.9155,-593.2599,-1427.2481,24969.399
55290.2967,27116.5073,53209.0366,41086.8824,35915.2257,38301.0507,5711.8535,50093.472,44509.2916,55776.6706,-599.1161,-1427.4716,24972.0812
55311.4414,27130.4548,53210.9588,41096.0913,35941.5561,38309.8125,5718.3802,50113.2756,44527.173,55781.0515,-580.6088,-1411.3337,24977.3115
55324.7631,27132.5111,53209.4836,41105.2108,35964.0867,38315.4005,5718.6484,50129.056,44532.3139,55782.2585,-568.4495,-1404.1364,24979.6808
55318.9069,27123.6151,53207.1143,41099.7123,35952.6873,38309.3655,5713.4628,50119.0424,44528.0671,55776.8941,-575.9597,-1414.3288,24975.4339
55302.4113,27116.5967,53203.1804,41087.687,35926.9828,38303.5988,5709.8866,50092.9803,44516.6677,55771.7979,-586.018,-1425.46,24973.8693
55290.0732,27115.3897,53201.0347,41083.5296,35915.4046,38301.3636,5705.3268,50076.3953,44510.4092,55771.9767,-587.672,-1425.3706,24973.3776
55302.2325,27119.0554,53196.6984,41090.3692,35931.9448,38306.3257,5704.2092,50099.194,44515.5948,55764.1536,-578.5078,-1416.117,24970.1589
55311.6202,27117.5355,53195.3573,41099.5334,35955.2801,38305.2975,5707.6961,50129.5477,44529.0506,55773.2284,-566.4378,-1407.0868,24975.3445
55304.1101,27116.8649,53194.7762,41097.2089,35945.2665,38304.7611,5708.5901,50118.1483,44529.9894,55777.6541,-571.7576,-1408.3833,24979.0102
55296.1081,27113.5569,53194.3738,41094.929,35924.4347,38309.6784,5706.5785,50097.4506,44516.3101,55772.9155,-586.1074,-1418.3968,24974.227
55285.8263,27107.8795,53195.9832,41093.0067,35914.8681,38307.7115,5703.3151,50094.8578,44507.3247,55769.4286,-591.9188,-1424.0742,24971.3212
55299.6844,27117.5355,53196.2067,41104.8084,35935.387,38305.3422,5704.7457,50120.2494,44520.9146,55774.7483,-579.4019,-1415.9828,24974.4505
55307.1946,27127.102,53196.0279,41108.5635,35951.8379,38307.1303,5705.9973,50141.8412,44536.1584,55776.8494,-571.6681,-1413.5689,24973.6011
