FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
53935.5576,26039.0192,52261.6804,39846.7183,34843.5938,37149.8466,5005.2255,49443.2598,44100.1654,55122.4351,-1825.5115,-2406.4779,23775.816
53937.5693,26045.8589,52262.1274,39847.1653,34850.1205,37150.2489,5003.795,49448.8925,44101.2383,55123.7762,-1823.5445,-2401.9629,23779.0793
53921.6995,26038.7063,52258.7299,39844.2596,34835.5025,37143.3645,5003.8397,49439.46,44092.6999,55118.5459,-1833.424,-2411.8423,23776.3971
53902.6111,26021.2272,52255.6454,39826.3782,34810.9603,37132.6804,4994.6755,49411.2521,44071.5104,55107.5488,-1852.87,-2431.2437,23769.2446
53904.9804,26021.6296,52261.8592,39832.6814,34822.9408,37139.1177,5001.7834,49410.8051,44068.5153,55110.4546,-1845.2257,-2424.7169,23775.056
53918.7044,26030.9726,52265.3461,39847.8359,34854.2333,37146.8514,5010.9476,49439.6836,44075.4443,55114.7014,-1820.7282,-2404.511,23780.2863
53919.7326,26033.2078,52265.659,39844.349,34856.4684,37140.2353,5010.5453,49449.4736,44069.1411,55117.7859,-1820.6835,-2399.9512,23776.8441
53901.7171,26028.5586,52263.3344,39834.2013,34831.3451,37131.2946,5009.0253,49427.256,44054.4337,55117.7412,-1836.0168,-2413.9881,23770.1833
53882.2711,26021.5849,52260.831,39821.9973,34814.5366,37122.6221,5009.383,49395.1142,44033.9148,55108.2194,-1847.9973,-2426.9968,23768.3505
53887.7249,26028.7374,52267.6706,39822.9361,34822.2703,37126.0643,5014.8368,49391.1356,44036.4629,55111.5274,-1839.7272,-2421.1854,23774.1172
53900.2419,26038.0805,52271.9175,39829.0604,34845.9631,37128.3889,5021.5423,49398.6011,44049.114,55117.7859,-1826.8526,-2407.0591,23778.5876
53904.6228,26052.7879,52275.2255,39837.7776,34863.3081,37131.384,5028.829,49400.568,44058.6805,55121.4516,-1816.1237,-2399.0124,23784.3096
53888.8425,26054.7101,52280.7688,39833.6202,34853.4733,37128.4336,5036.4286,49373.6118,44048.5328,55118.8588,-1822.4269,-2403.5275,23784.6673
53862.378,26046.6188,52278.9806,39819.628,34826.83,37119.7164,5031.8688,49346.9685,44032.0373,55114.8355,-1836.2403,-2419.0396,23779.7052
53862.9591,26048.8987,52275.002,39822.4443,34831.5686,37117.4812,5027.622,49345.1804,44021.5319,55107.1912,-1832.0829,-2421.3195,23780.0628
53873.1515,26056.5877,52272.4092,39833.4861,34857.3625,37124.0973,5028.6055,49351.573,44029.7127,55108.4876,-1816.4814,-2402.9016,23782.1192
