FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
57227.2092,28529.5397,54293.5431,42786.2853,37033.5281,39744.0344,5680.874,50205.2307,43589.2493,55811.6734,1032.1587,-454.8132,26507.1541
57234.5406,28527.9304,54293.6772,42783.3349,37036.4785,39742.291,5679.8458,50215.9148,43592.7361,55812.6569,1036.6738,-451.684,26510.2834
57264.939,28534.9041,54292.5596,42793.8849,37058.8303,39743.8109,5682.7515,50235.6291,43592.1103,55816.6802,1055.0469,-439.5247,26516.2736
57274.9525,28531.6855,54290.1456,42803.7196,37065.2676,39745.3308,5681.321,50247.5649,43594.6584,55816.7249,1055.941,-438.72,26511.535
57251.2597,28516.3969,54287.0164,42789.5039,37036.4338,39736.7477,5676.1354,50231.2481,43586.6117,55807.0689,1037.7914,-452.7122,26505.4554
57241.0226,28510.049,54288.2234,42783.6031,37022.8887,39735.0043,5671.9333,50203.8449,43577.0005,55805.3255,1022.2793,-466.5256,26503.7566
57240.6203,28506.0257,54282.3225,42776.987,37020.0723,39730.9363,5661.1598,50200.8945,43576.6876,55804.4314,1020.4911,-467.2408,26498.571
57256.2665,28514.6981,54280.7579,42785.0783,37042.737,39734.9596,5657.9858,50230.3541,43589.0257,55806.8454,1031.7117,-455.8414,26497.5876
57263.2402,28513.5359,54285.0047,42794.1084,37050.4707,39738.67,5662.7244,50240.4124,43595.0607,55816.5908,1035.5115,-450.7005,26500.1357
57244.3306,28508.0373,54286.8823,42784.0501,37026.7779,39734.8702,5662.9479,50224.7214,43595.3289,55813.3721,1024.2015,-459.5518,26498.7946
57227.4327,28501.6447,54283.6636,42771.5331,37004.1579,39734.5126,5658.4775,50207.0189,43580.2191,55798.7988,1009.0023,-472.1582,26490.2562
57233.1548,28506.1151,54283.0825,42779.8033,37012.7857,39740.0111,5661.6068,50212.6068,43585.3601,55805.1914,1010.4328,-468.7607,26491.7314
57256.3112,28517.2015,54286.167,42794.8684,37049.3084,39746.1355,5666.2112,50250.1577,43605.2531,55820.8376,1030.2812,-453.3827,26501.4321
57263.7767,28517.1568,54287.2399,42799.4281,37053.6,39743.7215,5667.3288,50258.3832,43609.2764,55822.9387,1036.3162,-450.1194,26502.952
57246.6552,28504.2375,54282.0543,42789.191,37040.6806,39742.4698,5664.1549,50230.5329,43595.7313,55816.9037,1022.9945,-463.9328,26495.4865
57225.1529,28493.464,54276.4664,42771.399,37017.7031,39732.635,5655.9741,50208.7623,43575.4359,55805.2808,1004.9343,-479.6684,26487.7528
57226.0022,28493.5087,54279.8638,42777.9704,37028.5213,39741.978,5659.1928,50226.5543,43589.2045,55809.617,1017.5854,-468.269,26492.8043
57249.9186,28508.1267,54284.1554,42798.3552,37052.1694,39753.9139,5665.0937,50261.4677,43604.8508,55819.0048,1039.7583,-449.4488,26502.192
57251.7067,28509.4678,54281.4285,42799.1599,37061.1101,39752.0363,5664.1102,50266.5639,43611.5563,55822.4916,1041.0994,-442.6092,26504.6507
57236.0605,28500.9742,54279.5956,42783.2007,37047.0732,39743.9003,5661.2939,50253.5105,43595.9101,55812.0757,1027.4649,-454.5003,26500.0015
57227.7457,28497.532,54282.0096,42773.813,37024.1404,39738.0888,5666.256,50238.1325,43584.466,55807.1136,1011.9081,-466.9726,26496.2912
57227.1645,28491.8994,54279.4168,42776.7187,37025.0344,39742.6039,5665.1831,50244.8827,43587.327,55810.0194,1015.5737,-463.3069,26499.4651
57248.1304,28497.085,54276.6005,42790.9344,37057.6233,39749.7118,5663.9761,50265.8933,43606.0131,55812.5675,1034.7068,-451.237,26504.159
57259.0828,28496.2803,54277.3604,42795.8071,37068.3074,39752.9304,5664.3337,50266.0722,43615.8925,55814.9368,1040.5183,-448.3312,26505.6342
57237.1781,28486.1773,54274.41,42779.848,37041.6641,39740.6369,5657.8517,50248.3696,43594.7478,55802.2857,1021.3852,-465.9891,26493.6984
57221.6213,28479.5165,54272.5772,42769.298,37020.6088,39736.3901,5657.9411,50227.9848,43578.7439,55794.5967,1007.6165,-477.165,26487.9763
57228.1927,28484.6127,54273.0242,42771.5331,37026.8673,39740.7264,5658.9246,50230.8905,43586.7459,55806.2643,1008.6,-470.0571,26487.7528
57252.0196,28499.3649,54276.6005,42790.5321,37053.7788,39746.0461,5661.5621,50260.0819,43606.8177,55819.8094,1030.4153,-452.9357,26496.2912
57260.6027,28496.2803,54277.9863,42791.7838,37055.1199,39747.7001,5658.254,50269.8272,43619.1559,55820.8376,1038.149,-452.5781,26497.8558
57245.8953,28488.6807,54275.4382,42780.1162,37040.7701,39738.5359,5655.0801,50248.9954,43607.2201,55813.9086,1023.218,-467.0173,26491.195
57221.3084,28478.846,54269.7161,42764.9617,37016.6749,39728.1647,5648.911,50224.0956,43590.0986,55804.2973,1002.3415,-484.4069,26484.7577
57222.9624,28481.9752,54272.8454,42770.5944,37016.4961,39731.6962,5647.3464,50231.2034,43594.3455,55808.9018,1006.9907,-481.9483,26489.228
57247.1023,28494.2687,54278.4333,42793.9296,37048.6379,39745.8225,5653.3366,50259.7243,43611.0646,55819.4965,1030.3259,-461.6082,26495.4418
57250.2315,28498.2473,54280.3556,42797.1035,37054.047,39749.5776,5656.0189,50274.9681,43611.9139,55818.1107,1036.0926,-453.1145,26496.3806
57233.8253,28493.4193,54277.3604,42788.6099,37034.7798,39742.2016,5654.4542,50266.0722,43598.1005,55812.9698,1022.1899,-466.1679,26493.8772
57215.6757,28479.9635,54267.481,42771.0861,37006.3037,39729.1929,5644.3065,50235.9867,43578.9227,55801.3022,1001.1345,-483.0658,26483.8636
57225.4211,28480.7682,54269.4926,42777.7916,37020.0723,39733.0374,5649.4474,50236.8361,43583.3931,55802.5092,1007.4824,-475.511,26483.9977
57240.0838,28488.0549,54266.274,42785.5253,37048.1908,39735.4066,5650.9227,50270.4084,43598.8158,55806.1302,1019.6418,-462.5022,26488.6916
57241.2908,28486.6244,54265.2458,42793.3484,37059.8584,39738.7594,5650.3415,50275.1023,43607.0859,55809.0806,1027.4202,-462.6811,26490.0774
57229.8914,28488.9936,54264.8435,42785.6594,37039.6972,39736.5242,5649.3133,50260.3501,43595.3736,55805.4596,1014.9032,-479.8919,26486.9928
57207.0032,28484.6574,54260.999,42766.7946,36996.8712,39730.1763,5641.6243,50229.1918,43575.2571,55790.8416,985.4436,-501.439,26477.5604
57218.9391,28482.0199,54259.792,42772.7401,37004.3367,39733.3056,5641.9373,50235.3609,43580.1744,55791.7804,988.8411,-498.4438,26479.0803
57244.2412,28492.1676,54264.9776,42790.0404,37037.1044,39740.324,5645.8712,50263.1664,43602.8391,55804.4761,1013.8303,-476.9415,26486.0988
57256.043,28498.5602,54272.0854,42795.2707,37051.4095,39745.0179,5649.8945,50275.9069,43618.4406,55809.7512,1019.4629,-466.7938,26490.0327
