FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
51367.2978,24090.1709,50653.3384,37457.4512,33343.7026,34897.6851,4546.4784,48451.7366,44085.6814,54605.6181,-3922.3284,-3691.4796,21752.3128
51364.3473,24094.9094,50652.9361,37464.0226,33334.7619,34898.7132,4549.8312,48437.9679,44081.2558,54598.5103,-3925.994,-3698.051,21751.3293
51357.016,24094.0154,50652.0867,37463.9779,33322.5578,34901.4401,4548.6242,48432.6035,44069.4094,54595.7386,-3933.5489,-3705.8294,21749.0941
51360.7711,24089.1874,50653.4278,37468.8506,33338.7852,34901.8872,4545.0479,48451.066,44073.835,54600.5219,-3926.307,-3696.4864,21750.2564
51373.5563,24094.9988,50657.1382,37483.6922,33361.5839,34906.581,4545.4055,48474.4906,44084.5191,54604.2323,-3908.9173,-3683.2541,21755.7102
51378.1607,24098.7092,50660.491,37482.1275,33365.6967,34911.5431,4545.5843,48476.5023,44086.9778,54608.7474,-3907.8444,-3682.0471,21758.0348
51365.1967,24097.7705,50657.2723,37472.5163,33346.3401,34905.9999,4542.2316,48466.2205,44080.6746,54603.9641,-3920.8978,-3693.9383,21752.6257
51348.8352,24090.4391,50649.8963,37460.8487,33328.7269,34904.0776,4539.8176,48446.551,44077.0537,54599.2255,-3931.3585,-3706.7235,21747.4848
51361.5757,24092.5401,50648.3763,37463.7097,33342.585,34907.2963,4542.3657,48455.134,44089.4812,54607.7639,-3926.3964,-3701.9402,21750.4352
51372.0363,24102.7325,50647.9293,37469.2529,33358.1418,34908.3245,4542.0527,48476.0553,44101.7747,54608.4344,-3921.7025,-3687.9927,21751.7316
51366.5825,24104.5207,50648.9575,37471.6222,33355.9066,34908.9056,4541.7398,48481.3303,44099.3607,54607.138,-3921.3449,-3689.7808,21751.0164
51352.9927,24099.2457,50651.7738,37467.5542,33341.2886,34907.0728,4541.7845,48472.5684,44083.938,54604.9923,-3931.6267,-3699.3921,21748.3789
51334.2172,24090.9755,50648.3316,37456.9148,33319.5627,34902.826,4541.114,48447.8027,44076.696,54602.8018,-3943.9201,-3708.0199,21742.7015
51345.4825,24092.6743,50646.4541,37463.218,33331.3644,34905.9552,4540.5328,48455.5811,44082.0605,54603.5618,-3937.5722,-3703.5942,21743.8638
51367.9236,24095.3565,50650.1198,37479.6689,33359.4382,34917.0417,4543.9303,48481.0621,44097.9302,54607.2274,-3920.1379,-3687.9927,21751.8657
51366.4484,24097.1893,50648.0634,37473.2763,33351.3469,34914.0018,4539.8176,48478.961,44105.5298,54605.037,-3925.9493,-3688.4397,21749.9882
51347.36,24097.9046,50646.6329,37462.2345,33328.9951,34907.341,4536.1072,48461.2137,44096.3656,54602.0865,-3938.4216,-3695.7264,21745.9649
51336.363,24088.1145,50648.1975,37460.4464,33324.7483,34903.3624,4536.1966,48448.652,44086.7096,54597.4374,-3939.1369,-3701.8508,21744.3556
51343.739,24087.3545,50648.0634,37465.9449,33334.3595,34902.826,4533.9614,48452.8095,44091.4035,54600.0749,-3931.1796,-3700.6438,21743.4168
51364.1238,24092.0037,50645.2918,37479.5794,33351.1233,34907.6986,4535.1684,48473.0154,44100.0313,54604.9923,-3917.2769,-3686.5622,21749.8541
51363.3192,24088.9639,50647.6611,37479.4453,33347.1894,34906.1787,4536.5542,48482.4032,44104.6357,54609.9991,-3916.3381,-3681.8236,21753.8774
51349.4611,24089.098,50647.6611,37478.8642,33341.0203,34901.0378,4536.2413,48462.6442,44092.7893,54603.9641,-3924.4741,-3693.223,21752.3128
51334.9324,24076.7598,50643.6378,37470.7282,33321.6637,34896.4334,4534.1402,48444.4946,44085.1897,54598.6444,-3929.615,-3708.2434,21748.7812
51346.1083,24077.5645,50646.767,37475.9585,33336.3712,34898.5344,4532.8438,48453.8823,44088.766,54602.3995,-3922.8201,-3703.6389,21749.8988
51364.4814,24083.1971,50646.6329,37487.0449,33362.0757,34904.6141,4533.7379,48477.0387,44098.7796,54605.6181,-3911.6442,-3690.3173,21753.4304
51360.4581,24086.3264,50647.3035,37482.8875,33361.1369,34905.1058,4533.2015,48478.8716,44099.6736,54608.7921,-3914.6394,-3688.6632,21752.3128
51351.2492,24076.8939,50643.1907,37470.7282,33344.8201,34901.5296,4530.6534,48463.2254,44086.1285,54601.2372,-3932.0737,-3703.2813,21743.238
51339.4475,24069.6967,50642.1626,37464.3803,33330.9621,34895.8075,4532.1286,48444.2264,44081.1664,54598.0185,-3943.9201,-3715.1277,21739.3935
51346.4212,24070.0543,50642.8331,37469.4765,33336.2371,34894.7793,4530.5192,48452.8095,44089.4812,54598.7785,-3932.9231,-3709.2268,21742.2098
51359.877,24075.0164,50637.8263,37472.0246,33345.7142,34896.2545,4525.6019,48470.3332,44095.0245,54598.555,-3924.1612,-3700.8226,21741.5839
51366.3143,24082.1242,50638.8992,37481.904,33348.4858,34899.7861,4526.0936,48472.926,44096.9467,54600.1643,-3922.2389,-3699.7944,21742.1651
51355.9431,24075.5975,50636.0382,37476.2267,33328.2799,34893.6617,4522.5173,48454.7317,44082.0605,54591.5812,-3933.7724,-3714.0995,21734.3867
51337.7041,24064.6005,50636.3511,37467.5989,33317.7745,34886.1068,4519.7904,48445.7016,44074.0138,54582.864,-3943.5178,-3722.4591,21729.7375
51349.8187,24068.0873,50636.1276,37471.4881,33327.2517,34890.1749,4522.0256,48458.7997,44079.1994,54582.9982,-3938.0193,-3714.8595,21731.7492
51364.1238,24080.7831,50642.8778,37482.217,33342.8532,34899.6967,4527.837,48479.1398,44097.8855,54592.7435,-3922.4178,-3694.7876,21738.4994
51364.8391,24083.3759,50645.8282,37480.8758,33347.3235,34900.5908,4527.7923,48480.1233,44097.8408,54591.9836,-3921.7025,-3693.9383,21738.9464
51349.2376,24081.9901,50648.0187,37472.8739,33330.515,34897.5509,4522.9197,48467.9192,44087.7378,54587.8708,-3933.2807,-3707.3493,21735.9513
51337.7935,24077.341,50646.6329,37468.2248,33316.0758,34895.7181,4521.9362,48455.8493,44085.1003,54584.6969,-3937.9746,-3713.6525,21737.1583
51345.8401,24079.0844,50646.2306,37482.0381,33330.068,34902.6471,4526.7195,48473.0154,44097.1255,54591.0448,-3925.3682,-3706.6787,21743.1486
51367.3425,24089.1874,50651.1927,37498.2208,33360.2428,34913.2419,4534.632,48497.7365,44112.1012,54603.6959,-3911.5548,-3690.809,21753.4751
51374.048,24089.3215,50652.802,37497.9973,33360.0193,34911.3196,4539.0129,48500.6869,44112.9953,54609.8202,-3915.4887,-3689.2444,21754.548
