FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
55132.851,27062.8184,53146.8093,40945.1723,35850.6739,38182.7652,5716.2791,50101.4739,44512.4656,55795.5354,-702.6941,-1514.1964,24851.6947
55122.3457,27062.5055,53144.5742,40942.0431,35842.1803,38182.1841,5718.2908,50073.7578,44502.5861,55792.1827,-709.1314,-1524.1653,24851.8735
55106.163,27064.6513,53143.5013,40927.2462,35812.5418,38172.394,5717.4861,50048.6344,44489.8009,55787.6229,-726.6998,-1536.1458,24846.9114
55094.6295,27070.418,53143.6354,40919.9595,35813.0783,38170.2483,5720.8389,50029.5013,44482.0225,55784.8513,-731.9748,-1538.2916,24848.029
55107.9512,27077.1682,53142.9648,40933.46,35837.0394,38175.8362,5727.0974,50040.9901,44491.5891,55791.4674,-714.317,-1526.5793,24852.0523
55125.2961,27092.9933,53145.9153,40947.9886,35858.3629,38183.4358,5732.9088,50062.9395,44502.0497,55800.3187,-697.9108,-1510.8436,24855.8521
55125.0279,27096.8378,53146.0047,40948.6145,35853.222,38180.6195,5735.9487,50057.5751,44491.902,55796.7871,-700.0118,-1513.8388,24854.064
55103.0785,27083.7843,53148.1057,40933.9964,35829.2162,38171.0976,5734.7417,50017.4314,44472.7689,55785.0748,-718.1168,-1534.0,24847.0008
55103.6596,27076.14,53151.0562,40936.1869,35823.6283,38172.2599,5733.8476,49998.7453,44472.9477,55780.9174,-717.178,-1536.5928,24844.9445
55119.5294,27083.829,53150.475,40947.7651,35839.498,38182.7205,5731.0313,50009.3848,44476.6581,55781.9903,-702.2023,-1524.657,24846.7773
55123.7315,27089.4617,53150.9668,40955.9906,35853.1326,38184.6875,5733.4006,50020.963,44485.4647,55784.0914,-689.9536,-1513.6153,24852.7229
55109.337,27084.8572,53150.1174,40948.9721,35835.8324,38179.9489,5730.0478,50007.6413,44478.7592,55779.3528,-703.2752,-1518.4432,24851.6947
55081.5761,27070.5968,53149.6704,40932.1189,35805.1658,38173.154,5725.801,49978.8076,44459.8496,55773.4519,-725.314,-1536.1011,24847.9396
55078.9833,27072.9214,53148.1951,40932.8789,35802.1706,38173.1093,5724.6834,49974.6501,44460.2519,55777.5646,-722.9447,-1538.0681,24849.3701
55101.9162,27075.4695,53147.8375,40947.0946,35828.5457,38179.636,5726.9186,49990.9222,44480.0109,55779.7104,-702.4258,-1521.9301,24854.5557
55110.231,27074.7095,53147.2117,40954.3365,35846.74,38178.1608,5729.3773,50000.6676,44484.7494,55782.5267,-687.0478,-1507.3568,24860.8589
55099.8598,27071.625,53143.7695,40943.8759,35828.7692,38168.8625,5726.1586,49987.48,44477.4181,55781.4986,-696.3909,-1515.5822,24858.4002
55081.889,27071.4015,53142.3837,40937.1704,35803.5117,38165.1074,5724.6834,49952.6113,44456.8545,55773.3625,-714.6299,-1529.485,24851.6947
55082.3361,27066.35,53139.3886,40940.5231,35801.7236,38161.8887,5722.627,49946.3528,44447.735,55768.5792,-718.9661,-1535.6094,24847.582
55104.1067,27069.4792,53143.3225,40945.6193,35823.7177,38167.4767,5725.9798,49964.9942,44451.7583,55770.3227,-699.9224,-1524.5676,24851.203
55113.852,27074.2625,53142.2049,40948.078,35836.0112,38171.4553,5722.6717,49973.7114,44462.6212,55771.2168,-691.9652,-1521.3937,24847.8949
55103.6596,27064.696,53139.9697,40938.3774,35809.4126,38164.6156,5716.8603,49956.5452,44450.2831,55768.7581,-707.4326,-1535.6094,24841.6364
55089.578,27052.8942,53139.2097,40927.2909,35775.5721,38156.122,5710.2442,49930.8407,44433.1169,55756.1517,-728.6221,-1548.6181,24831.1311
55088.4604,27045.2946,53135.4994,40923.4464,35776.0638,38150.5787,5706.8467,49919.0837,44433.5192,55750.8767,-730.4996,-1549.1545,24826.0796
55098.0717,27047.7086,53135.3205,40929.9284,35796.4933,38154.6915,5703.7622,49937.8145,44445.2763,55757.1352,-720.3519,-1541.242,24830.7288
55111.3486,27047.5298,53135.097,40932.9683,35805.5234,38154.915,5703.4045,49946.8446,44451.3112,55755.0341,-712.2159,-1536.5481,24834.7074
55107.3253,27041.1819,53134.6947,40922.91,35792.5594,38150.1764,5701.4823,49941.6143,44440.8953,55749.7144,-718.6085,-1541.242,24830.3264
55087.8346,27037.6056,53137.8239,40917.0985,35776.5555,38149.9529,5703.8516,49923.107,44438.526,55756.7328,-726.2528,-1548.3499,24830.4605
55081.6655,27042.6571,53140.6403,40915.4892,35778.5672,38153.2609,5706.9808,49912.6017,44435.9332,55758.4316,-729.4267,-1547.6346,24835.065
