FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
56002.0655,27657.0171,53696.5281,41706.3832,36421.9844,38869.5896,5905.5537,50336.2119,44444.6057,55949.8966,-17.4344,-975.3406,25584.1613
56018.874,27665.5555,53693.4882,41715.011,36443.5315,38873.6576,5907.2524,50358.0719,44457.972,55956.5574,-0.2682,-963.0919,25586.1729
56016.8624,27669.1318,53694.6505,41714.2063,36450.4606,38877.5468,5908.5935,50368.8902,44462.8894,55956.5574,1.1623,-963.0919,25585.6365
55997.774,27660.1464,53689.6884,41703.3434,36429.0476,38868.8296,5902.6927,50350.6064,44454.1723,55950.5671,-14.5286,-977.3076,25582.5967
55978.1939,27648.8364,53686.7827,41691.6311,36406.6064,38854.7927,5897.0153,50326.7795,44437.5426,55947.6614,-33.2594,-992.1938,25576.6958
55984.8547,27652.8597,53686.1122,41693.4192,36408.4393,38854.8374,5896.5236,50332.0098,44442.9964,55948.4661,-28.4761,-985.3989,25574.2818
56005.1501,27657.33,53684.9946,41704.5951,36432.445,38860.9618,5899.0717,50361.1118,44453.8146,55950.3436,-12.1593,-974.1783,25576.4276
56013.4202,27661.5769,53682.1336,41710.2724,36439.5082,38861.5876,5896.4342,50366.0291,44453.0994,55952.5788,-7.7337,-973.8207,25579.4227
55992.2308,27649.1046,53678.4679,41689.0383,36410.6745,38855.8209,5890.5333,50341.4422,44446.3938,55946.812,-24.6316,-987.7682,25571.5549
55975.6905,27645.0813,53679.3619,41683.5845,36397.9787,38857.2961,5890.4439,50324.0973,44435.0839,55943.8616,-33.617,-999.4358,25567.2634
55979.7585,27646.78,53679.6749,41690.3794,36411.1662,38857.1173,5888.8346,50334.9155,44443.4881,55957.0491,-23.827,-990.2269,25571.8231
56004.5689,27651.7421,53677.0821,41698.2919,36437.3177,38858.9501,5889.6393,50358.1613,44450.3725,55962.7265,-13.1875,-981.6438,25571.7784
56007.2511,27649.6857,53676.0986,41704.8186,36442.6821,38860.8277,5892.2321,50367.7279,44455.7369,55963.1288,-11.4441,-984.4154,25573.656
55996.8352,27646.6012,53677.2162,41696.2355,36422.655,38853.3175,5889.5051,50356.552,44447.3326,55956.915,-30.0407,-998.2735,25570.5267
55975.8693,27641.3262,53676.0986,41677.2366,36400.5268,38842.231,5885.2583,50324.8572,44435.3521,55947.7508,-48.6821,-1009.047,25565.3858
55970.1025,27644.9025,53677.6185,41676.6107,36412.3732,38843.2145,5885.4818,50333.3956,44436.2909,55952.087,-43.2283,-1004.4426,25565.1176
55991.1132,27652.5021,53677.4397,41691.2735,36443.3527,38850.233,5893.6626,50367.5938,44457.2568,55960.536,-17.6579,-984.5495,25573.656
56000.4562,27655.9889,53685.0393,41698.9177,36454.618,38856.8938,5901.8433,50383.7764,44465.2587,55968.225,-10.7735,-976.0559,25579.6015
55987.4475,27654.6925,53686.3357,41691.4523,36435.4849,38855.2397,5902.9162,50372.6006,44456.0051,55964.2464,-22.7988,-985.3542,25580.3615
