FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
56660.1455,28091.8032,53962.8714,42198.7027,36753.729,39298.0278,5940.0648,50340.8611,44206.5597,55957.8985,474.8404,-654.2802,26034.0124
56639.8948,28083.3542,53964.9278,42190.3878,36730.7514,39291.9481,5941.093,50318.9564,44186.6219,55955.7527,461.2952,-667.8253,26031.3302
56638.5984,28083.1307,53964.3019,42188.4656,36727.3986,39292.8869,5943.3728,50324.1867,44191.1817,55954.8587,462.6364,-666.2607,26033.2525
56659.162,28091.1326,53964.0784,42200.8932,36756.59,39306.7449,5947.3068,50350.8747,44209.0631,55961.3854,483.6023,-646.0547,26041.8355
56679.8151,28094.843,53966.7606,42211.3985,36781.8475,39315.0598,5951.6877,50368.9349,44221.2671,55967.778,496.9686,-631.3026,26048.9881
56673.2436,28091.0879,53964.5702,42206.8387,36768.0788,39304.9121,5950.0784,50354.3615,44219.2107,55967.3756,486.9998,-640.5562,26048.4517
56652.7694,28080.225,53960.7257,42197.5404,36742.5978,39300.0394,5945.4739,50327.2712,44209.1972,55958.0773,471.4429,-656.9624,26042.9531
56645.0804,28076.8722,53961.0386,42197.0934,36735.5347,39300.5759,5944.8481,50321.4151,44201.1505,55955.4845,466.0338,-657.9459,26042.0591
56660.7714,28081.7896,53955.093,42208.1351,36761.8203,39308.846,5944.714,50338.0448,44210.9853,55955.9315,480.6072,-648.1558,26046.2165
56675.1659,28082.4155,53953.5731,42213.2313,36778.3606,39309.5165,5946.368,50347.9242,44218.8531,55958.3008,489.9055,-639.6174,26044.8307
56668.1921,28077.811,53956.8812,42201.3402,36763.6979,39301.5593,5946.1445,50346.6725,44209.0183,55957.9879,477.165,-645.563,26040.2262
56651.9648,28072.7148,53956.5682,42189.1809,36737.2781,39290.0705,5940.8695,50324.2314,44198.6918,55956.7362,461.7423,-661.6116,26033.3419
56643.0688,28069.9432,53955.8977,42186.0516,36729.0974,39287.7012,5938.7684,50321.0574,44194.5344,55949.9413,458.4789,-669.1664,26031.822
56652.9036,28071.3737,53956.7024,42193.2042,36749.7057,39298.0725,5939.886,50338.7153,44207.2749,55948.1531,468.8501,-660.4493,26034.9959
56669.5333,28074.6371,53958.714,42201.1167,36770.8951,39305.672,5938.5896,50358.2954,44213.3546,55952.4894,475.3768,-654.6825,26036.0688
56659.7432,28070.7031,53956.3447,42197.004,36762.625,39301.604,5937.2932,50347.6113,44207.6325,55949.226,467.822,-662.0586,26030.4362
56643.3817,28073.9218,53960.7257,42187.9739,36733.8359,39299.6371,5940.5118,50333.3509,44196.5461,55945.1133,455.1709,-674.4862,26030.9279
56640.3419,28074.0112,53966.9842,42193.8747,36734.1489,39307.7284,5945.161,50331.0263,44202.0446,55948.6896,459.0154,-672.8321,26036.1135
56659.5644,28080.4038,53968.7723,42208.3586,36756.8135,39317.5632,5949.7654,50363.8834,44223.9493,55957.675,478.819,-660.4493,26046.2165
56678.161,28092.2949,53969.2193,42225.2119,36783.7697,39322.57,5952.4924,50388.9173,44236.0193,55971.9354,497.6839,-646.01,26052.6538
56675.1212,28093.0549,53972.7062,42224.8542,36783.1886,39324.9393,5953.2523,50376.6239,44232.8453,55976.0034,493.7947,-646.6359,26050.3739
56650.5343,28083.9801,53972.885,42208.0457,36749.7504,39312.6905,5947.8432,50359.3683,44222.9658,55968.672,472.6946,-662.8633,26043.1767
56634.2622,28076.6934,53967.7441,42199.1944,36727.6222,39304.778,5940.5565,50353.691,44212.9076,55958.4349,459.9541,-673.2792,26037.2758
56650.8919,28083.8907,53969.5323,42210.6385,36746.5317,39315.328,5941.8529,50379.172,44230.7889,55962.7265,475.7345,-660.9857,26039.6451
56666.3146,28096.05,53974.7626,42220.2945,36771.0292,39317.295,5942.3894,50400.719,44241.7413,55966.5263,493.4371,-647.5747,26043.9366
56659.7432,28096.1841,53973.8685,42214.5277,36759.7193,39310.9471,5940.8247,50387.1292,44226.6762,55958.9714,483.5576,-659.287,26039.0192
56643.2029,28082.4602,53969.9793,42205.1847,36742.2849,39304.1074,5937.7849,50362.8552,44210.9406,55952.1765,465.9444,-676.0508,26032.4478
56634.8881,28077.8557,53969.3534,42198.211,36734.5959,39300.2182,5935.5497,50348.0583,44211.2535,55951.6847,458.5683,-681.594,26030.7491
56655.3175,28084.0248,53969.6664,42206.6152,36754.176,39309.5165,5939.4836,50372.0194,44220.373,55954.1434,471.89,-667.6912,26029.7656
