FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
56401.6253,27965.2923,53862.4674,42024.5379,36618.8586,39148.5393,5945.3845,50349.1759,44242.2777,55946.4544,301.2568,-795.1409,25860.2053
56404.3075,27962.6995,53864.8367,42027.1307,36618.9033,39147.9135,5945.608,50351.6346,44248.8045,55951.9976,303.3578,-787.4966,25860.2053
56415.6175,27968.4663,53864.7026,42034.2833,36639.2881,39153.2332,5948.4243,50379.3061,44260.2485,55953.607,320.3005,-777.3489,25860.5182
56415.3939,27968.2428,53863.138,42036.5185,36643.222,39154.0378,5946.4574,50381.0942,44262.6178,55954.3669,321.9098,-776.6783,25859.803
56405.5145,27964.7112,53859.8299,42033.6127,36630.4368,39152.2497,5942.7023,50362.0058,44253.7218,55948.4661,311.628,-781.0593,25856.182
56386.3814,27954.3847,53855.6725,42018.7265,36606.5651,39142.7726,5935.1921,50333.8426,44236.8686,55934.4739,288.561,-804.0369,25843.3521
56391.0753,27951.1213,53852.0962,42016.8936,36606.9227,39143.756,5933.3146,50325.349,44228.5538,55931.7917,285.0741,-809.8036,25839.6417
56402.4299,27954.8317,53850.4422,42025.3426,36634.4601,39149.8357,5932.7334,50354.1827,44243.2612,55935.815,305.5483,-791.8775,25845.5873
56402.6535,27954.6976,53848.967,42031.4223,36650.5533,39152.3838,5935.9968,50369.3819,44254.0348,55938.1396,308.2305,-781.9533,25847.4648
56397.7361,27951.8366,53852.9903,42027.4884,36629.8109,39147.2429,5939.886,50364.1963,44244.96,55933.7139,297.904,-789.1953,25844.7826
56380.3017,27944.0582,53855.136,42016.9383,36607.2804,39144.963,5939.7072,50343.0963,44230.476,55928.126,284.7165,-798.8513,25839.15
56387.946,27953.4012,53858.2206,42020.9616,36615.4164,39155.7366,5942.4788,50345.9126,44242.9483,55936.5749,294.283,-791.7434,25844.8273
56409.2696,27962.5207,53862.4674,42036.1608,36641.9703,39168.2088,5949.8101,50367.9514,44266.5517,55950.3436,316.0983,-776.723,25855.422
56416.1986,27962.2078,53866.9825,42042.5087,36655.3366,39172.5898,5955.2193,50388.9173,44269.0104,55951.5953,325.3967,-769.5258,25860.3394
56407.9285,27962.1631,53867.6083,42037.8596,36637.8129,39164.1855,5954.0123,50379.3955,44264.5401,55953.7411,318.9147,-776.8124,25862.8428
56384.638,27952.8201,53866.2672,42028.6059,36610.5437,39156.9436,5948.6032,50349.0418,44242.993,55945.3368,298.8875,-788.8824,25859.3112
56389.7341,27954.2506,53868.0106,42033.6127,36618.4115,39163.8279,5951.5536,50353.9145,44244.6023,55948.4214,303.3578,-783.9203,25863.2451
56409.359,27963.8618,53868.3236,42045.8168,36641.9703,39170.3993,5954.1017,50379.8425,44261.6343,55955.0375,327.2742,-770.7775,25868.7437
56404.3522,27961.4925,53867.2954,42045.6827,36648.6311,39160.5645,5949.5419,50392.9406,44260.5615,55951.2377,330.2693,-767.4694,25868.0284
56385.3085,27954.6976,53862.8697,42033.4786,36625.7876,39149.6569,5944.8481,50368.2643,44247.6422,55940.7324,312.5221,-783.0709,25858.9536
56369.6623,27943.3429,53856.4771,42019.7994,36601.3795,39143.4878,5940.8247,50330.7581,44233.6947,55932.2834,293.9701,-803.411,25848.493
56380.4358,27951.0766,53855.449,42026.1472,36608.398,39146.1253,5944.401,50335.5861,44230.7889,55930.3612,299.6027,-799.1642,25849.1635
56405.8721,27951.479,53855.2701,42038.9324,36637.5893,39153.2332,5943.8199,50368.7561,44244.8258,55936.4408,315.5172,-784.5461,25856.4949
56416.3327,27950.6296,53856.4771,42045.9956,36642.2832,39153.6802,5943.4175,50376.1768,44258.7286,55945.8733,323.1168,-779.3605,25858.596
56395.3668,27952.5071,53856.9242,42037.7702,36630.4368,39152.3391,5942.3894,50357.2226,44254.2583,55941.6264,310.3763,-791.8328,25853.0527
56374.1773,27941.9124,53857.3712,42017.6536,36611.6613,39143.4431,5941.3612,50343.4092,44243.9765,55934.608,289.3209,-804.2157,25847.7777
56387.2308,27942.1806,53861.3945,42019.3076,36610.9908,39141.2526,5943.0152,50351.6346,44253.1407,55937.1114,289.0527,-802.7405,25850.7282
56406.8556,27950.3614,53863.4509,42028.2483,36641.2997,39148.3605,5946.1892,50368.5772,44272.2738,55942.0735,309.7951,-785.7978,25858.4172
56417.4056,27962.5207,53866.6695,42035.535,36649.3016,39154.2166,5951.0618,50379.3955,44278.0852,55949.8072,320.7922,-777.5724,25865.7038
56414.4105,27964.6665,53872.6598,42033.2551,36632.5378,39154.8872,5955.264,50376.7133,44276.8335,55959.6419,314.7572,-779.6735,25868.9672
56403.1005,27964.1747,53877.1749,42030.707,36619.3503,39154.3508,5955.7557,50361.1118,44272.7208,55955.6186,303.939,-788.0777,25868.1625
56407.0344,27965.4264,53872.1234,42031.6011,36623.3736,39153.3673,5957.2309,50360.6647,44267.5799,55953.4729,307.2917,-786.826,25865.8379
56428.5368,27966.6334,53870.2905,42037.3231,36650.5533,39156.5412,5959.1532,50389.4538,44282.9132,55961.6089,325.3073,-769.6152,25868.5201
56431.8448,27964.2195,53866.7589,42034.5962,36654.532,39156.0048,5958.4826,50399.1544,44282.0191,55962.9947,322.5356,-771.8056,25864.9439
56412.8458,27957.4692,53862.2439,42020.6934,36627.7099,39140.5374,5953.0735,50386.2351,44268.3846,55960.5807,305.9059,-787.3178,25856.7631
56386.3814,27946.651,53859.5617,42006.7012,36598.1162,39132.1331,5947.1726,50365.3139,44251.6655,55951.0142,284.5824,-805.378,25849.0741
56382.4922,27938.8279,53858.8911,42009.1152,36605.984,39138.1681,5944.8481,50368.2643,44245.5411,55944.6663,290.3491,-804.7074,25846.1684
56398.7195,27939.7219,53856.656,42025.5661,36633.566,39138.5257,5944.5798,50393.4771,44258.2369,55949.0472,306.8,-794.0233,25848.6271
56404.2628,27946.7851,53853.8843,42024.8061,36637.947,39138.8834,5941.7188,50399.6462,44269.0104,55950.3883,308.1411,-791.8328,25847.8671
56391.4329,27945.891,53850.5763,42011.8868,36620.9149,39130.9261,5936.7567,50388.2915,44258.9074,55942.0735,292.7184,-805.9144,25842.6368
56377.843,27944.4158,53857.55,42004.2425,36595.1657,39131.8202,5936.265,50364.688,44253.3642,55937.8266,276.1781,-813.2905,25840.5805
56385.8896,27948.5732,53865.1049,42008.7576,36602.363,39142.9961,5941.1824,50370.4101,44260.0697,55945.4709,287.0858,-804.618,25843.665
56411.7283,27957.0669,53868.7706,42025.3426,36634.4601,39154.2614,5944.6692,50401.7472,44266.7753,55949.9413,308.9458,-784.9038,25853.1868
