FC3,FCz,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CPz,CP4
52760.2136,25266.9901,51656.9763,38802.3108,34162.9833,36208.123,4906.7885,48952.9073,44144.6453,54977.3723,-2730.2206,-2973.0499,22902.9804
52772.373,25267.8841,51656.6187,38811.6539,34182.3399,36211.3863,4907.8166,48971.7722,44159.5763,54979.4286,-2716.2284,-2959.3259,22906.2885
52778.6314,25271.6839,51655.1435,38824.1708,34196.4215,36217.2872,4908.5766,48989.1171,44171.7803,54982.3344,-2708.8523,-2951.0558,22911.34
52770.4954,25270.4769,51653.3107,38820.4157,34184.3963,36219.5224,4908.6213,48982.4563,44161.9456,54977.3276,-2715.6919,-2960.8458,22908.926
52750.6918,25261.4021,51655.5011,38812.4585,34163.028,36211.4757,4907.9508,48959.434,44149.3392,54966.4646,-2731.1146,-2974.838,22899.9853
52745.0591,25255.9483,51658.1833,38802.7132,34158.96,36208.6147,4909.2025,48948.9287,44153.139,54973.9301,-2732.7687,-2975.5086,22899.9853
52767.0979,25263.5479,51662.0278,38811.2962,34186.9444,36216.4825,4909.873,48966.1396,44165.8348,54981.1721,-2719.7599,-2964.2433,22902.2652
52780.9113,25268.5547,51662.8772,38818.5829,34198.2991,36218.3601,4910.8118,48985.4068,44167.3547,54982.8708,-2710.8639,-2955.7943,22905.2603
52769.8249,25258.6752,51660.2397,38812.8161,34183.234,36214.292,4906.9226,48972.8004,44157.5199,54974.9136,-2720.0729,-2966.7914,22902.2652
52750.0212,25250.6286,51661.5808,38806.9153,34165.5314,36214.2026,4905.9838,48945.5312,44148.5792,54971.5608,-2730.5335,-2977.4755,22899.4042
52742.6004,25254.2049,51663.4136,38809.0163,34158.8259,36211.9675,4910.0965,48940.3009,44147.864,54971.9185,-2725.7502,-2978.4143,22900.2982
52754.1786,25258.1835,51664.3077,38814.0231,34172.5945,36219.3435,4909.3813,48961.8927,44159.5763,54977.0594,-2714.7084,-2968.1772,22900.7006
52769.6908,25259.3905,51670.1639,38826.3613,34194.7675,36226.7196,4910.1412,48978.1648,44173.6579,54984.9719,-2705.4101,-2958.1189,22906.512
52761.5547,25257.6917,51672.4437,38823.0979,34183.234,36223.188,4909.0683,48962.0715,44169.0981,54984.0778,-2716.3625,-2962.4552,22907.9425
52748.3672,25256.6636,51669.4933,38812.1903,34161.7316,36220.4611,4909.7836,48947.5876,44162.2138,54977.8193,-2725.1691,-2970.8594,22906.8249
52747.7413,25252.6402,51667.0793,38810.3575,34155.2496,36217.8683,4906.6097,48948.884,44164.2702,54972.7231,-2728.1642,-2971.0382,22905.4838
52761.3312,25252.5508,51665.6935,38818.4041,34174.8744,36218.1365,4906.252,48969.0006,44169.4558,54972.6337,-2718.1506,-2963.1704,22904.5004
52771.613,25257.0212,51663.9501,38825.9143,34181.5352,36221.5787,4905.2238,48972.4874,44173.8814,54972.3655,-2709.7464,-2956.1967,22905.7074
52769.4225,25258.7646,51663.9054,38824.9308,34179.613,36216.706,4907.9508,48955.5895,44167.6676,54967.9846,-2715.1555,-2957.2248,22906.1544
